Periodo,Ciudad,Operacion,Tipo,Colonia,n,precio_representativo,precio_min,precio_max,precio_skew,precio_metodo,area_m2_representativo,area_m2_min,area_m2_max,area_m2_skew,area_m2_metodo,PxM2_representativo,PxM2_min,PxM2_max,PxM2_skew,PxM2_metodo
Sep25,Zap,Ren,Cas,Ciudad Granja,6,42000.0,33000.0,43000.0,-1.9220169638906692,mediana_rango,250.0,187.0,300.0,-0.21424845322609765,mediana_rango,163.0,140.0,220.5128205,1.3808924689131024,mediana_rango
Sep25,Zap,Ren,Cas,El Real,5,25500.0,22000.0,26000.0,-1.243390444528599,mediana_rango,160.0,140.0,195.0,0.27847150338263343,mediana_rango,157.1428571,123.0769231,178.3216783,-0.23200556941866124,mediana_rango
Sep25,Zap,Ren,Cas,Puerta de Hierro,8,82500.0,60000.0,145000.0,1.7170588475052644,mediana_rango,481.5,327.0,750.0,1.4371566059034155,mediana_rango,194.16666665,123.4567901,244.648318,-0.18281607916815937,mediana_rango
Sep25,Zap,Ren,Cas,Valle Imperial,8,23225.0,19800.0,35000.0,1.792625677629557,mediana_rango,190.0,135.0,350.0,1.8437683625538464,mediana_rango,110.83333335,100.0,177.7777778,1.4131151816519731,mediana_rango
Sep25,Zap,Ren,Cas,Valle Real,5,69000.0,49950.0,110000.0,0.5203941673339773,mediana_rango,450.0,400.0,604.0,1.799962088679457,mediana_rango,167.5,111.0,197.3684211,-1.2140794642516837,mediana_rango
