Periodo,Ciudad,Operacion,Tipo,Colonia,n,precio_metodo,precio_representativo,precio_skew,precio_shapiro_p,precio_coef_var_pct,precio_justificacion,area_m2_metodo,area_m2_representativo,area_m2_skew,area_m2_shapiro_p,area_m2_coef_var_pct,area_m2_justificacion,PxM2_metodo,PxM2_representativo,PxM2_skew,PxM2_shapiro_p,PxM2_coef_var_pct,PxM2_justificacion
Sep25,Zap,Ven,Cas,Jardines de La Patria,7,mediana_rango,7595714.285714285,-1.6213701064509678,,102.16083934413597,5<=n<10 usar mediana+rango,mediana_rango,230.0,0.16028552915972927,,95.9743018950856,5<=n<10 usar mediana+rango,mediana_rango,36722.12287904778,0.3755093293921845,,45.34720801152174,5<=n<10 usar mediana+rango
Sep25,Zap,Ven,Cas,Jardines de Las Fuentes,1,no_estadistica,,,,102.16083934413597,n<5 sin estadística confiable,no_estadistica,,,,95.9743018950856,n<5 sin estadística confiable,no_estadistica,,,,45.34720801152174,n<5 sin estadística confiable
Sep25,Zap,Ven,Cas,Jardines de Los Belenes,1,no_estadistica,,,,102.16083934413597,n<5 sin estadística confiable,no_estadistica,,,,95.9743018950856,n<5 sin estadística confiable,no_estadistica,,,,45.34720801152174,n<5 sin estadística confiable
Sep25,Zap,Ven,Cas,Jardines de Nuevo México,9,mediana_rango,3535666.6666666665,1.1587211862950204,,102.16083934413597,5<=n<10 usar mediana+rango,mediana_rango,167.77777777777777,2.304567058080123,,95.9743018950856,5<=n<10 usar mediana+rango,mediana_rango,22271.26312917385,-0.4596928357012079,,45.34720801152174,5<=n<10 usar mediana+rango
Sep25,Zap,Ven,Cas,Jardines de San Gonzalo,1,no_estadistica,,,,102.16083934413597,n<5 sin estadística confiable,no_estadistica,,,,95.9743018950856,n<5 sin estadística confiable,no_estadistica,,,,45.34720801152174,n<5 sin estadística confiable
Sep25,Zap,Ven,Cas,Jardines de San Ignacio,7,mediana_rango,12151428.57142857,-0.844597743247792,,102.16083934413597,5<=n<10 usar mediana+rango,mediana_rango,410.42857142857144,0.574441150202227,,95.9743018950856,5<=n<10 usar mediana+rango,mediana_rango,30515.82941896932,0.3823269563359718,,45.34720801152174,5<=n<10 usar mediana+rango
Sep25,Zap,Ven,Cas,Jardines de Santa Ana,2,no_estadistica,,,,102.16083934413597,n<5 sin estadística confiable,no_estadistica,,,,95.9743018950856,n<5 sin estadística confiable,no_estadistica,,,,45.34720801152174,n<5 sin estadística confiable
Sep25,Zap,Ven,Cas,Jardines del Auditorio,2,no_estadistica,,,,102.16083934413597,n<5 sin estadística confiable,no_estadistica,,,,95.9743018950856,n<5 sin estadística confiable,no_estadistica,,,,45.34720801152174,n<5 sin estadística confiable
Sep25,Zap,Ven,Cas,Jardines del Sol,13,mediana_IQR,10150384.615384616,0.9128808515350162,,102.16083934413597,condiciones mixtas: preferible robustez,mediana_IQR,337.84615384615387,0.5149577060730277,,95.9743018950856,condiciones mixtas: preferible robustez,mediana_IQR,30975.17606639146,0.6228372608761047,,45.34720801152174,condiciones mixtas: preferible robustez
Sep25,Zap,Ven,Cas,Jardines del Valle,18,mediana_IQR,7729166.666666667,2.528369965273725,,102.16083934413597,asimetría fuerte |skew|>1,mediana_IQR,255.33333333333334,2.6446764345671747,,95.9743018950856,asimetría fuerte |skew|>1,mediana_IQR,28742.75004071016,0.19741113938210783,,45.34720801152174,condiciones mixtas: preferible robustez
Sep25,Zap,Ven,Cas,Jardines del Vergel,6,mediana_rango,3775650.0,0.14630951449065704,,102.16083934413597,5<=n<10 usar mediana+rango,mediana_rango,146.83333333333334,-0.3905484927566824,,95.9743018950856,5<=n<10 usar mediana+rango,mediana_rango,25812.319377200805,-0.8885981045314345,,45.34720801152174,5<=n<10 usar mediana+rango
Sep25,Zap,Ven,Cas,Jardín Real,31,media_desv,10617408.903225806,0.44842431391744986,,102.16083934413597,n>=30 & normalidad (skew bajo),mediana_IQR,279.2903225806452,0.9767223466335427,,95.9743018950856,condiciones mixtas: preferible robustez,media_desv,38010.37508240606,0.3213233151606279,,45.34720801152174,n>=30 & normalidad aceptada
Sep25,Zap,Ven,Cas,Jocotán,2,no_estadistica,,,,102.16083934413597,n<5 sin estadística confiable,no_estadistica,,,,95.9743018950856,n<5 sin estadística confiable,no_estadistica,,,,45.34720801152174,n<5 sin estadística confiable
Sep25,Zap,Ven,Cas,Juan Manuel Vallarta,5,mediana_rango,11348000.0,-0.7221875600301608,,102.16083934413597,5<=n<10 usar mediana+rango,mediana_rango,333.2,0.15790872659057484,,95.9743018950856,5<=n<10 usar mediana+rango,mediana_rango,35618.557130942456,1.3125307626235598,,45.34720801152174,5<=n<10 usar mediana+rango
