Periodo,Ciudad,Operacion,Tipo,Colonia,n,precio_representativo,precio_min,precio_max,precio_skew,precio_metodo,area_m2_representativo,area_m2_min,area_m2_max,area_m2_skew,area_m2_metodo,PxM2_representativo,PxM2_min,PxM2_max,PxM2_skew,PxM2_metodo
Sep25,Zap,Ven,CasC,Puerta del Tule,7,13250000.0,10500000.0,17200000.0,1.0936900969085994,mediana_rango,370.0,333.0,440.0,0.7070346888416038,mediana_rango,35810.81081081081,28750.0,41891.89189189189,0.2600257200793045,mediana_rango
Sep25,Zap,Ven,CasC,Santa Ana Tepetitlán,15,3200000.0,2300000.0,4850000.0,0.37822203231100354,mediana_IQR,139.0,76.0,200.0,0.2242565122255017,mediana_IQR,26043.478260869564,19671.052631578947,38095.23809523809,0.48613802726748667,mediana_IQR
Sep25,Zap,Ven,CasC,Santillana,9,7000000.0,5900000.0,8990000.0,0.7104528983748211,mediana_rango,208.0,135.0,242.0,-0.8237377567840095,mediana_rango,32777.77777777778,30791.666666666668,47288.88888888889,1.4318653962645504,mediana_rango
Sep25,Zap,Ven,CasC,Soare Acantia I,9,8300000.0,7300000.0,21000000.0,1.6931529018925118,mediana_rango,210.0,147.0,450.0,1.4376102845154837,mediana_rango,41000.0,37258.771929824565,49659.86394557823,1.1058604853867187,mediana_rango
Sep25,Zap,Ven,CasC,Soare II Coto2,18,8835000.0,7500000.0,10700000.0,0.39592706422973345,mediana_IQR,222.0,146.0,270.0,-0.6032730926191362,mediana_IQR,39101.65094339623,34080.71748878924,64081.63265306123,1.8936824545868987,mediana_IQR
Sep25,Zap,Ven,CasC,Solares,20,7875000.0,5900000.0,12700000.0,0.8929168424512931,mediana_IQR,218.5,130.0,385.0,1.6503238384378185,mediana_IQR,36853.82642731813,26818.18181818182,48461.53846153846,0.34289973608289753,mediana_IQR
Sep25,Zap,Ven,CasC,Valeira,8,8700000.0,6990000.0,13061000.0,1.5422857469078415,mediana_rango,220.5,144.0,353.0,0.8221956251892296,mediana_rango,36520.83333333333,31818.18181818182,62499.99305555556,2.3425679998765943,mediana_rango
Sep25,Zap,Ven,CasC,Valle Imperial,66,5540000.0,1920000.0,11500000.0,0.9070786111843001,mediana_IQR,220.0,84.0,450.0,1.183083510243209,mediana_IQR,25767.97385620915,17454.545454545456,68750.0,3.101638569441205,mediana_IQR
Sep25,Zap,Ven,CasC,Valle Real,20,24825000.0,15990000.0,36450000.0,0.12824285911000696,mediana_IQR,446.0,270.0,800.0,1.0421461237637908,mediana_IQR,55205.03261882572,37312.5,79772.07977207977,0.32651918526008655,mediana_IQR
Sep25,Zap,Ven,CasC,Valle de San Isidro,5,3490000.0,3157000.0,4900000.0,0.7322797630985056,mediana_rango,132.0,102.0,160.0,-0.017328097791669023,mediana_rango,29333.33333333333,26439.39393939394,33333.333333333336,0.18656903503131148,mediana_rango
Sep25,Zap,Ven,CasC,Villa Verona,6,18138500.0,13900000.0,25900000.0,0.7069943191976904,mediana_rango,414.0,332.0,600.0,0.6991330972947382,mediana_rango,42979.01921132457,36666.66666666666,47962.96296296296,-0.5800446069817402,mediana_rango
Sep25,Zap,Ven,CasC,Virreyes,7,13500000.0,6970000.0,31300000.0,1.7481092944927281,mediana_rango,280.0,180.0,650.0,1.2789229822039623,mediana_rango,38793.10344827586,33919.753086419754,61363.63636363636,1.0568198325129012,mediana_rango
Sep25,Zap,Ven,CasC,Vistas del Valle,9,8100000.0,6000000.0,8700000.0,-1.0773544267166963,mediana_rango,270.0,165.0,540.0,1.4989771433254275,mediana_rango,30000.0,16111.111111111111,36363.63636363636,-0.640121428777706,mediana_rango
