variable,count,missing,missing_pct,mean,median,mode,std,var,min,max,range,p01,p05,p10,p25,p50,p75,p90,p95,p99,iqr,coef_var_pct,skew,kurtosis,metodo_sugerido_global
precio,6580,0,0.0,9504778.929027356,6164711.0,8500000.0,9710161.931698924,94287244739814.98,400000.0,79000000.0,78600000.0,1298160.0,2110000.0,2600000.0,3800000.0,6164711.0,10800000.0,21279989.40000001,30002142.49999997,49777300.00000001,7000000.0,102.16083934413595,2.713757251600392,9.37184361825284,mediana_IQR
area_m2,6580,0,0.0,229.001367781155,157.5,400.0,219.78246405816097,48304.33150747682,25.0,4024.0,3999.0,40.0,52.0,61.0,88.0,157.5,300.0,480.0,618.0499999999993,1058.8400000000001,212.0,95.97430189508559,3.4399760398721337,25.879896378324894,mediana_IQR
PxM2,6580,0,0.0,45079.71183925253,41740.43083180953,50000.0,20442.390698740437,417891337.4799495,1452.1739130434785,192000.0,190547.8260869565,11106.444444444445,17938.228194517815,22049.353701527616,30106.306215599412,41740.43083180953,57897.010646846116,70640.5517975402,80148.22595833332,106521.79391304348,27790.704431246704,45.34720801152174,1.0208866099470586,2.4157648430114254,mediana_IQR
