variable,n,skew,kurtosis,shapiro_stat,shapiro_p,approx_normal
precio,6580,2.713757251600392,9.37184361825284,,,False
area_m2,6580,3.4399760398721337,25.879896378324894,,,False
PxM2,6580,1.0208866099470586,2.4157648430114254,,,False
