colonia,municipio,count,precio_mediano,longitud_centro,latitud_centro
La Guadalupana,Guadalajara,4,3348065.5,-103.351358,20.708579
La Joya,Zapopan,7,8600000.0,-103.442032,20.614728
La Loma,Guadalajara,4,4250000.0,-103.321265,20.660354
La Loma,Zapopan,10,4879455.0,-103.381976,20.692515
La Mesa Colorada Poniente,Zapopan,3,1300000.0,-103.355092,20.766534
La Mesa de La Coronilla,Zapopan,29,15259000.0,-103.427831,20.70193
La Moraleja,Zapopan,18,2305000.0,-103.450932,20.790961
La Palmita,Zapopan,10,3125000.0,-103.353932,20.729659
La Penal,Guadalajara,11,3400000.0,-103.313965,20.66726
La Periquera,Zapopan,3,6700000.0,-103.443645,20.771391
La Perla,Guadalajara,5,4980000.0,-103.336498,20.681052
La Primavera,Zapopan,3,3747000.0,-103.564613,20.723316
La Sauceda,Zapopan,6,2315000.0,-103.433056,20.770603
La Stravaganza,Zapopan,3,4460000.0,-103.423144,20.743106
La Toscana,Zapopan,11,14500000.0,-103.433663,20.727995
La Tuzanía,Zapopan,11,1900000.0,-103.414468,20.736434
La Venta del Astillero,Zapopan,11,4300000.0,-103.540933,20.728819
Ladrón de Guevara,Guadalajara,200,5246404.5,-103.373357,20.680539
Lagos del Country,Zapopan,14,7990000.0,-103.371292,20.7156
Las Alamedas,Zapopan,6,4975000.0,-103.435313,20.636142
Las Arboledas,Zapopan,47,2892900.0,-103.42525,20.63082
Las Conchas,Guadalajara,5,2990000.0,-103.341085,20.661806
Las Cumbres,Zapopan,3,9200000.0,-103.438635,20.671694
Las Flores,Zapopan,3,2800000.0,-103.410984,20.670138
Las Fuentes,Zapopan,9,23500000.0,-103.426671,20.623968
Las Lomas Golf Hábitat,Zapopan,32,15950212.0,-103.437655,20.716129
Las Palmas,Zapopan,3,18682500.0,-103.399167,20.729392
Las Palomas,Zapopan,4,5249500.0,-103.443492,20.795391
Las Águilas,Zapopan,20,4700000.0,-103.414239,20.626873
Loma Bonita,Zapopan,34,4692578.5,-103.407433,20.639673
Loma Bonita Ejidal,Zapopan,19,3337114.0,-103.404618,20.629068
Loma Chica,Zapopan,3,1600000.0,-103.48794,20.80875
Loma Imperial,Zapopan,3,3575000.0,-103.426109,20.776357
Loma Real,Zapopan,4,19875000.0,-103.4126,20.689554
Lomas Altas,Zapopan,18,7550000.0,-103.411065,20.685043
Lomas Independencia,Guadalajara,3,3790000.0,-103.323344,20.690911
Lomas Universidad,Zapopan,3,5350000.0,-103.434217,20.68538
Lomas de Atemajac,Zapopan,4,3975000.0,-103.36428,20.714034
Lomas de Guadalupe,Zapopan,10,5625000.0,-103.41896,20.668455
Lomas de Guevara,Guadalajara,14,8753000.0,-103.382213,20.688592
Lomas de Independencia,Guadalajara,14,2367500.0,-103.328698,20.717007
Lomas de Polanco,Guadalajara,3,2300000.0,-103.372736,20.628136
Lomas de Providencia,Guadalajara,8,8020000.0,-103.385443,20.694057
Lomas de San Eugenio,Guadalajara,4,1765000.0,-103.287628,20.683967
Lomas de San Gonzalo,Zapopan,9,2500000.0,-103.437333,20.773469
Lomas de Zapopan,Zapopan,31,2690000.0,-103.398246,20.745633
Lomas del Batan,Zapopan,3,2460000.0,-103.350172,20.723669
Lomas del Colli,Zapopan,4,10400000.0,-103.447369,20.665747
Lomas del Country,Guadalajara,19,4205995.0,-103.367217,20.698632
Lomas del Paraíso III,Guadalajara,5,3300000.0,-103.317162,20.729233
Lomas del Seminario,Zapopan,5,13200000.0,-103.42279,20.667932
Lomas del Valle,Zapopan,18,18250000.0,-103.405985,20.688908
Los Almendros,Zapopan,20,6547000.0,-103.394382,20.767097
Los Castaños,Zapopan,5,18950000.0,-103.445435,20.697724
Los Maestros,Zapopan,3,7990000.0,-103.375916,20.72252
Los Molinos,Zapopan,5,1572000.0,-103.444634,20.819728
Los Pinos,Zapopan,13,7843000.0,-103.432579,20.644536
Los Robles,Zapopan,17,4740000.0,-103.417815,20.759572
Los Tréboles,Zapopan,6,1375000.0,-103.435789,20.823802
Luna Bosque Residencial,Zapopan,9,2950000.0,-103.479356,20.631857
Lázaro Cárdenas,Guadalajara,3,2250000.0,-103.362637,20.622937
Madeiras,Zapopan,32,3850000.0,-103.426936,20.774718
Maple Coto 1,Zapopan,19,7200000.0,-103.426755,20.788238
Margarita Maza de Juárez,Guadalajara,7,3163000.0,-103.304291,20.712377
Mariano Otero,Zapopan,10,3372500.0,-103.446388,20.630041
Mexicaltzingo,Guadalajara,7,3550000.0,-103.350002,20.667889
Mezquitán,Guadalajara,18,2793102.5,-103.35507,20.697201
Mezquitán Country,Guadalajara,9,3100000.0,-103.360143,20.696502
Mirador San Isidro,Zapopan,4,4527500.0,-103.390348,20.758473
Mirador de San Isidro,Zapopan,18,4445000.0,-103.394746,20.763843
Mirador del Bosque,Zapopan,10,1313500.0,-103.445218,20.855788
Mirador del Sol,Zapopan,32,5657421.0,-103.420343,20.651726
Miravalle,Guadalajara,6,2900000.0,-103.346128,20.61342
Misión La Floresta,Zapopan,9,2550000.0,-103.466046,20.627168
Misión del Bosque,Zapopan,3,4985000.0,-103.389056,20.763189
Misión del Valle,Zapopan,4,2575000.0,-103.43839,20.751331
Moctezuma,Zapopan,3,1999000.0,-103.431675,20.652267
Moderna,Guadalajara,88,3567816.5,-103.366262,20.66491
Monraz,Guadalajara,22,8100000.0,-103.395706,20.685324
Monumental,Guadalajara,15,3119000.0,-103.32464,20.701826
Morelos,Guadalajara,3,3150000.0,-103.357464,20.650978
Mítica Residencial,Zapopan,13,14900000.0,-103.468829,20.734906
Niños Héroes,Guadalajara,5,4300000.0,-103.360022,20.702732
Nueva España,Guadalajara,13,2982492.0,-103.395198,20.61353
Nueva Primavera,Zapopan,6,1615000.0,-103.429067,20.65132
Nuevo México,Zapopan,5,4160000.0,-103.436073,20.756437
Oblatos,Guadalajara,7,2629540.0,-103.316719,20.681077
Obrera,Guadalajara,57,5218043.0,-103.369182,20.668389
Observatorio,Guadalajara,4,2318450.0,-103.350587,20.698498
Olimpica,Guadalajara,7,3400000.0,-103.323407,20.656125
Olivos Residencial,Zapopan,19,14200000.0,-103.459798,20.734044
Palermo,Zapopan,9,1599900.0,-103.462297,20.818169
Palma Real,Zapopan,4,5747250.0,-103.455465,20.717203
Palmira,Zapopan,6,1371349.0,-103.430545,20.596216
Paraísos del Colli,Zapopan,4,2880000.0,-103.448318,20.648984
Parque Arrayanes,Zapopan,4,3097500.0,-103.468448,20.62652
Parque Regency,Zapopan,3,12450000.0,-103.430018,20.690382
Parque Virreyes,Zapopan,16,13200000.0,-103.440291,20.699746
Parque de La Castellana,Zapopan,9,10000000.0,-103.4349,20.691828
Parques Tepeyac,Zapopan,3,2990000.0,-103.441388,20.649116
Parques de Tesistán,Zapopan,12,1969500.0,-103.470034,20.793683
Parques de Tesistán III,Zapopan,8,1824500.0,-103.465308,20.797562
Parques de Zapopan,Zapopan,5,2200000.0,-103.419778,20.74737
Parques del Centinela,Zapopan,7,6545000.0,-103.38823,20.759649
Paseos Universidad,Zapopan,5,5149000.0,-103.435383,20.687115
Paseos del Parque,Zapopan,11,11100000.0,-103.445294,20.669169
Paseos del Sol,Zapopan,39,3100000.0,-103.431252,20.635638
Pinar de La Calma,Zapopan,16,4600000.0,-103.41671,20.6197
Pinar de La Venta,Zapopan,14,12000000.0,-103.527813,20.722334
Plaza Guadalupe,Zapopan,15,4390000.0,-103.434008,20.656588
Poniente,Zapopan,42,6125000.0,-103.424838,20.722439
Pontevedra,Zapopan,20,4444000.0,-103.410038,20.788215
Porta Real,Zapopan,4,5639500.0,-103.454425,20.728734
Praderas de San Antonio,Zapopan,8,2589000.0,-103.456415,20.76739
Praderas del Centinela,Zapopan,4,3725000.0,-103.386456,20.765135
Prados Guadalupe,Zapopan,5,5000000.0,-103.421007,20.673082
Prados Providencia,Guadalajara,40,7400000.0,-103.392196,20.688997
Prados Tepeyac,Zapopan,14,4755000.0,-103.413724,20.65694
Prados Vallarta,Zapopan,20,6645000.0,-103.41649,20.67307
Providencia,Guadalajara,64,7416420.0,-103.37788,20.701575
Providencia 2a Sección,Guadalajara,19,7830000.0,-103.381716,20.694178
Providencia 3a Sección,Guadalajara,12,8499500.0,-103.380931,20.700631
Providencia 4a Sección,Guadalajara,9,5217000.0,-103.387123,20.696768
Puerta Aqua,Zapopan,3,13366622.0,-103.424962,20.699612
Puerta Las Lomas,Zapopan,52,14875000.0,-103.436627,20.705297
Puerta Real,Zapopan,3,8995000.0,-103.432978,20.721706
Puerta de Hierro,Zapopan,86,12870000.0,-103.416151,20.714068
Puerta de Plata,Zapopan,18,21240000.0,-103.418772,20.705765
Puerta del Bosque,Zapopan,12,23400000.0,-103.418591,20.701355
Puerta del Llano,Zapopan,5,1650000.0,-103.459761,20.785657
Puerta del Roble,Zapopan,3,13366622.0,-103.425742,20.69313
Puerta del Tule,Zapopan,46,4937500.0,-103.448294,20.698794
Puerta del Valle,Zapopan,21,6390000.0,-103.420728,20.724556
Punta Valdepeñas I,Zapopan,4,3220000.0,-103.406476,20.759749
Quinta Velarde,Guadalajara,3,3000000.0,-103.336744,20.655294
Quintas del Bosque,Zapopan,4,3075000.0,-103.380344,20.759942
Rancho Contento,Zapopan,4,19487500.0,-103.479542,20.714141
Rancho Nuevo,Guadalajara,5,2400000.0,-103.330784,20.717387
Rda. del Auditorio,Zapopan,3,2495000.0,-103.345528,20.737239
Real,Guadalajara,6,3550000.0,-103.33068,20.66815
Real Cantabria,Zapopan,5,4100000.0,-103.426908,20.770133
Real Vallarta,Zapopan,12,8390000.0,-103.42504,20.675516
Real de Valdepeñas,Zapopan,17,3990000.0,-103.402979,20.757389
Real del Bosque,Zapopan,14,3525000.0,-103.395833,20.751638
Real del Camichín 8469,Zapopan,6,4375000.0,-103.400996,20.754816
Real del Carmen,Zapopan,5,4750000.0,-103.430538,20.736211
Reforma,Guadalajara,6,2406082.0,-103.332996,20.671672
Reserva Real,Zapopan,10,15200000.0,-103.439111,20.720978
Revolución,Zapopan,3,3500000.0,-103.492623,20.808597
Rinconadas de Zapopan,Zapopan,3,2190000.0,-103.444702,20.761338
Rinconadas del Aire,Zapopan,3,2070000.0,-103.442288,20.749345
Royal Country,Zapopan,8,15000000.0,-103.422002,20.708114
San Andrés,Guadalajara,7,3100000.0,-103.298284,20.659119
San Antonio,Guadalajara,3,2690000.0,-103.309195,20.658843
San Carlos,Guadalajara,4,5125000.0,-103.341924,20.658999
San Francisco,Zapopan,3,3260000.0,-103.39261,20.750797
San Isidro Residencial,Zapopan,6,4695000.0,-103.385915,20.757351
San Juan de Dios,Guadalajara,22,2413275.0,-103.332374,20.676567
San Juan de Dios II,Guadalajara,14,2530640.5,-103.337261,20.669343
San Juan de Ocotán,Zapopan,18,5680000.0,-103.459201,20.710531
San Miguel de La Colina,Zapopan,6,4224865.0,-103.387296,20.716538
San Miguel de Mezquitán,Guadalajara,5,4800000.0,-103.354862,20.701277
San Rafael,Guadalajara,4,2340000.0,-103.295475,20.653886
San Wenceslao,Zapopan,3,16490000.0,-103.408372,20.698376
Santa Ana Tepetitlán,Zapopan,81,3350082.0,-103.453026,20.618638
Santa Catalina,Zapopan,4,8450000.0,-103.438479,20.688255
Santa Eduwiges,Guadalajara,6,3159000.0,-103.393655,20.640246
Santa Elena Estadio,Guadalajara,3,3700000.0,-103.33825,20.710337
Santa Elena de La Cruz,Guadalajara,3,4750000.0,-103.338257,20.712597
Santa Fe,Zapopan,16,10900000.0,-103.397039,20.719307
Santa Isabel,Zapopan,11,25000000.0,-103.409921,20.705189
Santa Margarita Residencial,Zapopan,9,2285000.0,-103.418736,20.73824
Santa María del Pueblito,Zapopan,5,3161000.0,-103.435913,20.680408
Santa Mónica,Guadalajara,3,4495000.0,-103.347373,20.712705
Santa Rita,Guadalajara,9,10850000.0,-103.400688,20.682668
Santa Rita,Zapopan,5,8500000.0,-103.403787,20.68272
Santillana,Zapopan,30,6625000.0,-103.463621,20.719311
Seattle,Zapopan,3,13650000.0,-103.373146,20.718933
Sendas,Zapopan,13,5100000.0,-103.422629,20.778861
Sendas Residencial G3,Zapopan,10,4300000.0,-103.418322,20.774399
Sevilla,Zapopan,4,3600000.0,-103.441952,20.65287
Sin Nombre,Zapopan,31,7949000.0,-103.432508,20.701855
Soare Acantia I,Zapopan,40,7825000.0,-103.469918,20.730979
Soare II Coto2,Zapopan,41,8695000.0,-103.471746,20.732097
Solares,Zapopan,80,7250000.0,-103.459818,20.725174
Solares Althea,Zapopan,6,6800000.0,-103.467149,20.723987
Solares Antara,Zapopan,26,7850000.0,-103.467203,20.725775
Solares Aveira,Zapopan,4,7695000.0,-103.465181,20.726069
Sole Real,Zapopan,6,5490000.0,-103.453791,20.730994
Sutaj,Guadalajara,6,2660000.0,-103.313864,20.651414
Tabachines,Zapopan,13,4450000.0,-103.36394,20.740149
Tepeyac,Zapopan,10,3298077.5,-103.386216,20.726991
Tepeyac Casino,Zapopan,8,6950000.0,-103.415267,20.659458
Terranova,Guadalajara,7,10900000.0,-103.389077,20.681653
Tesistán,Zapopan,11,2200000.0,-103.476325,20.802632
Tierra Residencial,Zapopan,5,2490000.0,-103.471691,20.804096
Torres Cibeles,Zapopan,4,4300000.0,-103.430419,20.737034
Valdepeñas II,Zapopan,4,3420000.0,-103.400307,20.762165
Valeira,Zapopan,29,7550000.0,-103.472543,20.727458
Vallarta,Guadalajara,10,6250000.0,-103.386073,20.673224
Vallarta,Zapopan,3,7590000.0,-103.451414,20.687652
Vallarta Norte,Guadalajara,29,6893000.0,-103.390801,20.676897
Vallarta Poniente,Guadalajara,15,8990000.0,-103.391236,20.673311
Vallarta San Jorge,Guadalajara,22,7490000.0,-103.397499,20.676968
