variable,lower,upper,outliers,ratio
precio,-7360222.5,19616133.5,760,0.08685714285714285
area_m2,-222.5,597.5,620,0.07085714285714285
PxM2,-28941.16604164225,102228.37542482128,55,0.006285714285714286
