variable,n,skew,kurtosis,shapiro_p,approx_normal
precio,8750,1.960291293504981,4.323692372650444,,False
area_m2,8750,2.700946494913421,10.129156805832652,,False
PxM2,8750,0.3926109068734813,0.053425639941661274,,True
