Ciudad,Colonia,operacion,tipo_propiedad,precio_q5,precio_q10,precio_q25,precio_q50,precio_q75,precio_q90,precio_q95,area_m2_q5,area_m2_q10,area_m2_q25,area_m2_q50,area_m2_q75,area_m2_q90,area_m2_q95,PxM2_q5,PxM2_q10,PxM2_q25,PxM2_q50,PxM2_q75,PxM2_q90,PxM2_q95
Gdl,Belisario Domínguez,Ven,Cas,2320000.0,2440000.0,2800000.0,3425000.0,3887500.0,3955000.0,3977500.0,117.9,121.8,133.5,238.0,372.75,438.90000000000003,460.94999999999993,8561.076604554866,9151.138716356108,10921.325051759834,15601.503759398496,19830.82706766917,20789.473684210527,21109.022556390977
Gdl,Benito Juárez,Ven,Cas,4400000.0,4400000.0,4400000.0,4400000.0,4400000.0,4400000.0,4400000.0,278.0,278.0,278.0,278.0,278.0,278.0,278.0,15827.338129496404,15827.338129496404,15827.338129496404,15827.338129496404,15827.338129496404,15827.338129496404,15827.338129496404
Gdl,Benito Juárez,Ven,Local comercial,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,168.0,168.0,168.0,168.0,168.0,168.0,168.0,17857.14285714286,17857.14285714286,17857.14285714286,17857.14285714286,17857.14285714286,17857.14285714286,17857.14285714286
Gdl,Blanco y Cuellar,Ven,Cas,3570000.0,3570000.0,3570000.0,3570000.0,3570000.0,3570000.0,3570000.0,220.0,220.0,220.0,220.0,220.0,220.0,220.0,16227.272727272728,16227.272727272728,16227.272727272728,16227.272727272728,16227.272727272728,16227.272727272728,16227.272727272728
Gdl,Blanco y Cuellar,Ven,Dep,1600000.0,1600000.0,1600000.0,1600000.0,1600000.0,1600000.0,1600000.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,34042.55319148936,34042.55319148936,34042.55319148936,34042.55319148936,34042.55319148936,34042.55319148936,34042.55319148936
Gdl,Bosques de La Victoria,Ven,Cas,528000.0,656000.0,7450000.0,9840000.0,10610000.0,14040000.0,14120000.0,216.8,223.6,272.0,437.0,468.0,478.6,499.79999999999995,2411.579609817495,2918.3973148730856,18813.131313131315,22008.547008547008,26871.40115163148,30912.291090933017,31339.81444926964
Gdl,Bosques de La Victoria,Ven,Dep,2425000.0,2450000.0,2525000.0,2650000.0,2750000.0,2810000.0,2830000.0,59.6,60.2,62.0,65.0,93.5,110.60000000000001,116.3,23616.976938038344,25512.642400666853,31199.638788552376,40677.96610169492,42262.05997392438,43212.51629726205,43529.335071707945
Gdl,Bosques del Boulevard,Ven,Cas,2800000.0,2800000.0,2800000.0,2800000.0,2800000.0,2800000.0,2800000.0,286.0,286.0,286.0,286.0,286.0,286.0,286.0,9790.20979020979,9790.20979020979,9790.20979020979,9790.20979020979,9790.20979020979,9790.20979020979,9790.20979020979
Gdl,Centro,Ven,Cas,5557500.0,5615000.0,5787500.0,6075000.0,6362500.0,6535000.0,6592500.0,324.1,327.2,336.5,352.0,367.5,376.8,379.9,14678.123195301887,14995.933074676883,15949.362712801867,17538.412109676843,19127.461506551816,20080.891144676803,20398.701024051796
Gdl,Centro,Ven,Dep,5791250.0,5791250.0,5791250.0,5791250.0,5791250.0,5791250.0,5791250.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,56776.96078431373,56776.96078431373,56776.96078431373,56776.96078431373,56776.96078431373,56776.96078431373,56776.96078431373
Gdl,Centro,Ven,Local comercial,12955000.0,12955000.0,12955000.0,12955000.0,12955000.0,12955000.0,12955000.0,381.0,381.0,381.0,381.0,381.0,381.0,381.0,34002.62467191601,34002.62467191601,34002.62467191601,34002.62467191601,34002.62467191601,34002.62467191601,34002.62467191601
Gdl,Centro Barranquitas,Ven,Cas,9000000.0,9000000.0,9000000.0,9000000.0,9000000.0,9000000.0,9000000.0,786.0,786.0,786.0,786.0,786.0,786.0,786.0,11450.381679389311,11450.381679389311,11450.381679389311,11450.381679389311,11450.381679389311,11450.381679389311,11450.381679389311
Gdl,Chapalita,Ven,Cas,5850000.0,6567200.0,8740000.0,11475000.0,15553191.25,26936507.300000004,30939999.999999996,173.5,194.0,300.0,381.0,467.25,573.8000000000001,757.2499999999998,20148.91304347826,22131.987577639753,26147.95918367347,32386.22291021672,43847.80357142857,49637.395021621625,53684.0073
Gdl,Chapalita,Ven,Dep,2932600.0,3500000.0,4500000.0,5613000.0,6190000.0,8990000.0,11162611.0,47.0,49.0,54.0,82.0,105.0,155.0,201.0,41358.02469135803,48514.85148514852,58133.333333333336,62888.88888888889,71956.575,84905.6603773585,92769.23076923077
Gdl,Chapalita,Ven,Ofc,3304500.0,3804000.0,5302500.0,7800000.0,11895000.0,14352000.0,15171000.0,201.3,215.6,258.5,330.0,565.0,706.0,753.0,15498.75,15997.5,17493.75,19987.5,21811.93181818182,22906.59090909091,23271.477272727276
Gdl,Chapultepec Country,Ven,Cas,6000000.0,6000000.0,6000000.0,6000000.0,6000000.0,6000000.0,6000000.0,198.0,198.0,198.0,198.0,198.0,198.0,198.0,30303.030303030304,30303.030303030304,30303.030303030304,30303.030303030304,30303.030303030304,30303.030303030304,30303.030303030304
Gdl,Chapultepec Country,Ven,Dep,3136422.4,3551200.0,4130065.0,5500000.0,6499000.0,6980000.0,6980000.0,49.4,58.0,78.0,91.0,112.0,127.4,128.4,48000.0,49384.61538461538,52949.55128205128,58986.44285714286,61538.46153846154,63400.0594000594,65033.54139194139
Gdl,Circunvalación Américas,Ven,Dep,4328015.0,4691192.4,6300000.0,6980000.0,8417673.0,8674000.0,8894600.0,61.8,63.6,80.0,110.0,129.0,174.40000000000003,220.2,39664.29452900041,52162.65762390824,62545.454545454544,64395.833333333336,68181.81818181818,78238.47785714286,82051.31507042253
Gdl,Circunvalación Belisario,Ven,Cas,1158000.0,1446000.0,2310000.0,2700000.0,3800000.0,4100000.0,4200000.0,45.8,60.6,105.0,138.0,181.0,238.0,257.0,15049.643686444071,15182.160301064938,15579.710144927536,22000.0,27536.23188405797,27853.20243104254,27958.8592800374
Gdl,Circunvalación Oblatos,Ven,Cas,3045000.0,3090000.0,3225000.0,5050000.0,7072500.0,7563000.0,7726500.0,90.15,108.30000000000001,162.75,195.5,268.5,395.40000000000003,437.69999999999993,16536.641839378237,16635.783678756477,16933.209196891192,25720.939969644634,36174.242424242424,39469.69696969697,40568.18181818181
Gdl,Circunvalación Oblatos,Ven,Terreno / Lote,22220000.0,22220000.0,22220000.0,22220000.0,22220000.0,22220000.0,22220000.0,1587.0,1587.0,1587.0,1587.0,1587.0,1587.0,1587.0,14001.260239445495,14001.260239445495,14001.260239445495,14001.260239445495,14001.260239445495,14001.260239445495,14001.260239445495
Gdl,Circunvalación Vallarta,Ven,Cas,35000000.0,35000000.0,35000000.0,35000000.0,35000000.0,35000000.0,35000000.0,700.0,700.0,700.0,700.0,700.0,700.0,700.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0
Gdl,Circunvalación Vallarta,Ven,Dep,2773746.8,2871552.3,3694350.75,4425676.5,5731352.5,6017950.0,6164775.0,41.1,43.300000000000004,58.0,75.5,94.5,96.9,102.85,48881.46096590909,56961.635795454546,60881.661363636355,63899.04655870445,67368.10425531915,67568.2188449848,71124.01047619047
Gdl,Circunvalación Vallarta,Ven,Ofc,9110000.0,9570000.0,10950000.0,20700000.0,20700000.0,38100000.0,43899999.99999999,171.4,182.8,217.0,225.0,360.0,872.4000000000001,1043.1999999999998,32521.142229544206,34625.61779242175,40939.04448105436,54062.5,92000.0,94035.02304147465,94713.36405529953
Gdl,Colinas de Huentitán,Ven,Cas,3080000.0,3080000.0,3080000.0,3080000.0,3080000.0,3080000.0,3080000.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,34222.22222222222,34222.22222222222,34222.22222222222,34222.22222222222,34222.22222222222,34222.22222222222,34222.22222222222
Gdl,Colinas de La Normal,Ven,Cas,6990000.0,6990000.0,6990000.0,6990000.0,6990000.0,6990000.0,6990000.0,354.0,354.0,354.0,354.0,354.0,354.0,354.0,19745.762711864405,19745.762711864405,19745.762711864405,19745.762711864405,19745.762711864405,19745.762711864405,19745.762711864405
Gdl,Colinas de San Javier,Ven,Cas,27138000.0,29492000.0,30000000.0,34400000.0,44400000.0,51319999.99999999,57199999.99999999,539.1,574.0,654.5,800.0,1073.5,1284.2,1314.3999999999999,25894.442256848735,27798.290514023425,36558.836789900815,47169.81132075472,54193.4739997694,64005.57413600892,64215.18039525692
Gdl,Colinas de San Javier,Ven,Dep,4955000.0,5040000.0,5450000.0,7800000.0,9872948.0,19060214.4,22099999.999999996,83.8,88.6,97.0,134.0,186.5,263.2,314.99999999999994,49810.117302052786,50532.46753246753,51201.767304860085,56382.97872340425,67869.74789915967,72349.78308457711,73175.94735935706
Gdl,Colomos,Ven,Cas,18990000.0,18990000.0,18990000.0,18990000.0,18990000.0,18990000.0,18990000.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,37235.294117647056,37235.294117647056,37235.294117647056,37235.294117647056,37235.294117647056,37235.294117647056,37235.294117647056
Gdl,Colomos,Ven,Dep,4959375.0,5590000.0,6684555.75,8710500.0,10617000.0,13940000.000000004,15267500.0,77.5,92.7,132.5,165.5,242.75,282.6,320.45,41391.98331788694,42411.45076172458,46460.11396011396,50502.27047758443,54128.59589041095,61676.533393911865,63780.75552077899
Gdl,Colomos Providencia,Ven,Cas,9299000.0,10748000.0,12596250.0,13500000.0,15375000.0,16399899.999999998,18199449.999999996,189.35,217.7,290.0,392.0,472.5,543.3,571.65,26199.63421122639,26328.504921521682,28739.837398373984,38479.432013769365,47182.53968253969,49460.112577639746,52620.68128881987
Gdl,Colomos Providencia,Ven,Dep,4159876.8000000003,4484960.8,5300000.0,6700000.0,8300000.0,10119355.600000003,11559999.999999989,54.0,62.0,74.0,103.0,120.0,165.40000000000003,198.19999999999982,46144.78527607362,53389.11167821121,60806.42307692308,67961.16504854368,75432.98969072165,84276.59775280899,91508.87720065608
Gdl,Colomos Providencia,Ven,Local comercial,13500000.0,13500000.0,13500000.0,13500000.0,13500000.0,13500000.0,13500000.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,75000.0,75000.0,75000.0,75000.0,75000.0,75000.0,75000.0
Gdl,Colon,Ven,Cas,3802100.0,3835200.0,3934500.0,4100000.0,4399500.0,4579200.0,4639100.0,219.1,220.2,223.5,229.0,241.0,248.2,250.6,16313.879319722957,16422.22504260797,16747.26221126301,17288.990825688074,18904.320740354953,19873.518689155084,20196.58467208846
Gdl,Colon Industrial,Ven,Cas,4640500.0,4791000.0,5242500.0,5995000.0,6747500.0,7199000.0,7349500.0,235.6,238.2,246.0,259.0,272.0,279.8,282.4,19622.65642647391,19974.9265868534,21031.737067991868,22793.087869889314,24554.438671786764,25611.249152925233,25963.51931330472
Gdl,Country Club,Ven,Cas,18775000.0,19750000.0,22500000.0,33372000.0,35043000.0,38622400.0,38981200.0,317.0,350.0,390.0,430.0,535.0,580.0,585.0,39522.34206471495,40909.09090909091,50051.316729611106,67827.58620689655,83265.83720930232,87821.05263157895,93700.24060150376
Gdl,Country Club,Ven,Dep,4272994.0,4658600.0,8335400.0,10400000.0,16842500.0,20370000.0,28199999.99999999,81.0,84.0,126.0,161.0,229.25,322.70000000000005,399.1999999999998,48293.74897676123,51225.0,56434.41280806572,64721.95084300233,73279.38596491228,81520.56140350878,86523.06850172037
Gdl,Country Club,Ven,Ofc,7042700.0,7827400.0,8695000.0,10322500.0,13025000.0,33499999.999999993,52749999.99999997,110.15,120.3,141.0,152.0,163.0,478.29999999999984,839.1499999999994,60000.0,60000.0,60000.0,63790.0,69591.01844426624,88761.23963334788,98178.0881711043
Gdl,Del Bosque,Ven,Cas,7650000.0,7800000.0,8250000.0,9500000.0,10875000.0,11550000.0,11775000.0,317.5,328.0,359.5,415.0,461.25,476.1,481.05,17776.55138582291,18996.811380917345,22657.59136620064,26189.327220814735,27728.337034188997,27802.210145240584,27826.834515591112
Gdl,Del Bosque,Ven,Dep,1598000.0,1706000.0,1915000.0,1980000.0,2375000.0,3207371.6000000006,3587900.299999999,48.9,49.8,51.5,52.0,52.0,54.400000000000006,56.199999999999996,30299.071618037135,31944.297082228117,34857.42705570292,38823.52941176471,45673.07692307692,64224.08782051283,73449.84599358973
Gdl,Del Fresno,Ven,Cas,2670000.0,2890000.0,3152000.0,3600000.0,3700000.0,4210000.0,4330000.0,141.4,163.8,179.0,180.0,211.0,225.0,227.0,14375.355450236966,14750.710900473932,15625.0,20000.0,20555.555555555555,22157.401422107305,23683.742727860375
Gdl,Del Fresno,Ven,Dep,1661950.0,1723900.0,1906750.0,2545947.5,2864292.25,3369070.9,3732956.4499999993,39.15,42.3,48.75,61.0,80.25,89.1,95.05,27036.303630363036,27405.940594059408,31930.693069306933,44154.588709677424,49753.58333333333,51209.32784810127,51534.04367088607
Gdl,Del Fresno,Ven,Local comercial,22140000.0,22280000.0,22700000.0,23400000.0,24100000.0,24520000.0,24660000.0,673.3,696.6,766.5,883.0,999.5,1069.4,1092.7,20635.29087400055,21557.320099255583,24323.40777502068,28933.55390129584,33543.700027571,36309.7877033361,37231.81692859113
Gdl,Del Fresno,Ven,Terreno / Lote,2390000.0,2390000.0,2390000.0,2390000.0,2390000.0,2390000.0,2390000.0,129.0,129.0,129.0,129.0,129.0,129.0,129.0,18527.131782945737,18527.131782945737,18527.131782945737,18527.131782945737,18527.131782945737,18527.131782945737,18527.131782945737
Gdl,Del Sur,Ven,Cas,2865000.0,2940000.0,3165000.0,3745000.0,4325000.0,4550000.0,4625000.0,124.1,132.2,156.5,182.0,197.5,203.8,205.9,17804.371530531324,18649.980174464712,21186.80610626487,23323.938992042444,24215.263691683573,24509.634888438133,24607.758620689652
Gdl,Dr. Valentín Gómez Farías,Ven,Dep,1597600.0,1599200.0,1604000.0,1612000.0,1620000.0,1624800.0,1626400.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,31952.0,31984.0,32080.0,32240.0,32400.0,32496.0,32528.0
