Colonia,Gdl_Ren_Dep_n,Gdl_Ren_Dep_precio_mean,Gdl_Ren_Dep_precio_min,Gdl_Ren_Dep_precio_max,Gdl_Ren_Dep_area_m2_mean,Gdl_Ren_Dep_PxM2_mean,Gdl_Ven_CasC_n,Gdl_Ven_CasC_precio_mean,Gdl_Ven_CasC_precio_min,Gdl_Ven_CasC_precio_max,Gdl_Ven_CasC_area_m2_mean,Gdl_Ven_CasC_PxM2_mean,Gdl_Ven_Cas_n,Gdl_Ven_Cas_precio_mean,Gdl_Ven_Cas_precio_min,Gdl_Ven_Cas_precio_max,Gdl_Ven_Cas_area_m2_mean,Gdl_Ven_Cas_PxM2_mean,Gdl_Ven_Dep_n,Gdl_Ven_Dep_precio_mean,Gdl_Ven_Dep_precio_min,Gdl_Ven_Dep_precio_max,Gdl_Ven_Dep_area_m2_mean,Gdl_Ven_Dep_PxM2_mean,Gdl_Ven_LocC_n,Gdl_Ven_LocC_precio_mean,Gdl_Ven_LocC_precio_min,Gdl_Ven_LocC_precio_max,Gdl_Ven_LocC_area_m2_mean,Gdl_Ven_LocC_PxM2_mean,Gdl_Ven_Ofc_n,Gdl_Ven_Ofc_precio_mean,Gdl_Ven_Ofc_precio_min,Gdl_Ven_Ofc_precio_max,Gdl_Ven_Ofc_area_m2_mean,Gdl_Ven_Ofc_PxM2_mean,Gdl_Ven_Terreno____n,Gdl_Ven_Terreno____precio_mean,Gdl_Ven_Terreno____precio_min,Gdl_Ven_Terreno____precio_max,Gdl_Ven_Terreno____area_m2_mean,Gdl_Ven_Terreno____PxM2_mean,Zap_Ren_Dep_n,Zap_Ren_Dep_precio_mean,Zap_Ren_Dep_precio_min,Zap_Ren_Dep_precio_max,Zap_Ren_Dep_area_m2_mean,Zap_Ren_Dep_PxM2_mean,Zap_Ven_CasC_n,Zap_Ven_CasC_precio_mean,Zap_Ven_CasC_precio_min,Zap_Ven_CasC_precio_max,Zap_Ven_CasC_area_m2_mean,Zap_Ven_CasC_PxM2_mean,Zap_Ven_Cas_n,Zap_Ven_Cas_precio_mean,Zap_Ven_Cas_precio_min,Zap_Ven_Cas_precio_max,Zap_Ven_Cas_area_m2_mean,Zap_Ven_Cas_PxM2_mean,Zap_Ven_Dep_n,Zap_Ven_Dep_precio_mean,Zap_Ven_Dep_precio_min,Zap_Ven_Dep_precio_max,Zap_Ven_Dep_area_m2_mean,Zap_Ven_Dep_PxM2_mean,Zap_Ven_LocC_n,Zap_Ven_LocC_precio_mean,Zap_Ven_LocC_precio_min,Zap_Ven_LocC_precio_max,Zap_Ven_LocC_area_m2_mean,Zap_Ven_LocC_PxM2_mean,Zap_Ven_Ofc_n,Zap_Ven_Ofc_precio_mean,Zap_Ven_Ofc_precio_min,Zap_Ven_Ofc_precio_max,Zap_Ven_Ofc_area_m2_mean,Zap_Ven_Ofc_PxM2_mean,Zap_Ven_Terreno____n,Zap_Ven_Terreno____precio_mean,Zap_Ven_Terreno____precio_min,Zap_Ven_Terreno____precio_max,Zap_Ven_Terreno____area_m2_mean,Zap_Ven_Terreno____PxM2_mean
Agua Blanca Sur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,4000000.0,4000000.0,4000000.0,274.0,14598.540145985402,,,,,,,,,,,,,,,,,,,,,,,,
Agua Fría,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,6800000.0,6800000.0,6800000.0,1072.0,6343.2835820895525
Agustín Yáñez (La Florida),,,,,,,,,,,,,1.0,6600000.0,6600000.0,6600000.0,188.0,35106.382978723406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alamitos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,18000.0,18000.0,18000.0,60.0,300.0,1.0,5400000.0,5400000.0,5400000.0,165.0,32727.272727272728,6.0,7683333.333333333,3660000.0,18000000.0,352.3333333333333,24023.601980179228,,,,,,,,,,,,,,,,,,,,,,,,
Albaterra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1050000.0,1050000.0,1050000.0,76.0,13815.78947368421,6.0,1266333.3333333333,979000.0,1599000.0,71.33333333333333,18544.75342774941,,,,,,,1.0,974000.0,974000.0,974000.0,31.0,31419.35483870968,,,,,,,,,,,,
Alcalde Barranquitas,8.0,17812.5,8000.0,32000.0,71.625,250.79112583520143,,,,,,,3.0,8130000.0,6990000.0,9900000.0,418.0,24062.732358576788,8.0,3299076.875,2200000.0,4400000.0,75.25,43481.710386938925,,,,,,,,,,,,,2.0,10910097.5,8690000.0,13130195.0,1367.0,8131.100057670126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alcázar Oriente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,28000000.0,28000000.0,28000000.0,422.0,66350.71090047393,10.0,32229353.9,26256999.0,38500000.0,453.7,71527.41720308203,,,,,,,,,,,,,,,,,,,3.0,18152997.0,14500000.0,24165050.0,572.6666666666666,31441.737123667182
Alcázar Poniente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,34900000.0,33800000.0,36000000.0,432.0,80787.03703703704,20.0,27771150.0,13895000.0,43000000.0,449.3,61931.19538360887,,,,,,,,,,,,,,,,,,,6.0,19942208.166666668,12878000.0,39764500.0,591.1666666666666,33669.037968861834
Aldama Tetlán,,,,,,,,,,,,,4.0,3485000.0,2360000.0,6000000.0,230.75,18531.865540120256,,,,,,,,,,,,,,,,,,,1.0,855000.0,855000.0,855000.0,90.0,9500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alianza de Cazadores Diana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,13762455.07142857,10300000.0,18737000.0,377.6428571428572,37133.968552809,,,,,,,,,,,,,,,,,,,4.0,5428631.5,4244526.0,6200000.0,650.5,8824.49685262121
