id,PaginaWeb,Ciudad,Colonia,operacion,tipo_propiedad,area_m2,recamaras,estacionamientos,precio,mantenimiento,longitud,latitud,tiempo_publicacion,Banos_totales,antiguedad_icon,PxM2,Fecha_Scrap
Gdl-Coli_Terr-001M-180_00-00-00_Vince-10330-20723,Inm24,Gdl,Colinas de Huentitán,Ven,Terreno / Lote,180.0,4.0,,1830708.0,,-103.303757,20.723998,21.0,0.0,0.0,10170.6,
Gdl-Coli_Terr-600K-090_00-00-00_EJEIN-10330-20726,Inm24,Gdl,Colinas de Huentitán,Ven,Terreno / Lote,90.0,2.0,,600000.0,,-103.301354,20.726855,,0.0,5.0,6666.666666666667,
Gdl-Coun_Terr-024M-621_00-00-00_ALEJA-10336-20704,Inm24,Gdl,Country Club,Ven,Terreno / Lote,621.0,,,24840000.0,,-103.365216,20.704924,76.0,0.0,50.0,40000.0,
Gdl-DelF_Terr-002M-129_03-01-00_REIIN-10336-20660,Inm24,Gdl,Del Fresno,Ven,Terreno / Lote,129.0,3.0,,2390000.0,,-103.369556,20.66019,17.0,1.0,40.0,18527.131782945737,
Gdl-DelF_Terr-002M-084_00-00-00_REIIN-10337-20659,Inm24,Gdl,Del Fresno,Ven,Terreno / Lote,84.0,2.0,,2550000.0,,-103.372453,20.659226,17.0,0.0,0.0,30357.14285714286,
Gdl-DelP_Terr-003M-400_00-00-00_Guada-10333-20661,Inm24,Gdl,Del Periodista,Ven,Terreno / Lote,400.0,,,3000000.0,,-103.333509,20.661312,34.0,0.0,1.0,7500.0,
Gdl-ElCa_Terr-990K-104_00-00-00_GRUPO-10338-20620,Inm24,Gdl,El Carmen,Ven,Terreno / Lote,104.0,2.0,,990000.0,,-103.38322,20.620096,263.0,0.0,0.0,9519.23076923077,
Gdl-ElRe_Terr-014M-1277_00-00-00_SIPSo-10333-20687,Inm24,Gdl,El Retiro,Ven,Terreno / Lote,1277.0,,,14000000.0,,-103.336865,20.687704,,0.0,20.0,10963.19498825372,
Gdl-ElRe_Terr-014M-1278_00-00-00_Pulpp-10334-20687,Inm24,Gdl,El Retiro,Ven,Terreno / Lote,1278.0,,,14000000.0,,-103.341171,20.687658,83.0,0.0,0.0,10954.616588419403,
Gdl-ElRe_Terr-009M-500_00-00-00_Urban-10333-20688,Inm24,Gdl,El Retiro,Ven,Terreno / Lote,500.0,,,9400000.0,,-103.339958,20.688192,35.0,0.0,1.0,18800.0,
Gdl-ElRe_Terr-001M-100_00-00-00_Urban-10334-20684,Inm24,Gdl,El Retiro,Ven,Terreno / Lote,100.0,2.0,,1880000.0,,-103.341774,20.684817,277.0,0.0,0.0,18800.0,
Gdl-ElRo_Terr-008M-690_00-00-00_Mistr-10332-20633,Inm24,Gdl,El Rosario,Ven,Terreno / Lote,690.0,,,8280000.0,,-103.323623,20.633775,196.0,0.0,0.0,12000.0,
Gdl-ElÁl_Terr-001M-174_00-00-00_BREZO-10333-20623,Inm24,Gdl,El Álamo,Ven,Terreno / Lote,174.0,4.0,,1900000.0,,-103.333812,20.623679,63.0,0.0,0.0,10919.540229885057,
Gdl-Ferr_Terr-002M-279_00-00-00_Vival-10335-20649,Inm24,Gdl,Ferrocarril,Ven,Terreno / Lote,279.0,,,2990000.0,,-103.352343,20.649875,206.0,2.0,40.0,10716.8458781362,
Gdl-Ferr_Terr-560K-064_00-00-00_EDITH-10334-20644,Inm24,Gdl,Ferrocarril,Ven,Terreno / Lote,64.0,1.0,,560000.0,,-103.344827,20.644504,82.0,0.0,50.0,8750.0,
Gdl-Inde_Terr-002M-200_00-00-00_KWGRA-10333-20700,Inm24,Gdl,Independencia,Ven,Terreno / Lote,200.0,4.0,,2400000.0,,-103.33283,20.700808,65.0,0.0,0.0,12000.0,
Gdl-Insu_Terr-003M-220_00-00-00_KWGRA-10327-20647,Inm24,Gdl,Insurgentes,Ven,Terreno / Lote,220.0,,,3499000.0,,-103.278861,20.647354,,0.0,2.0,15904.545454545454,
Gdl-Jard_Terr-004M-209_00-00-00_ASSRV-10339-20670,Inm24,Gdl,Jardines de Los Arcos,Ven,Terreno / Lote,209.0,,,4670000.0,,-103.397963,20.670882,328.0,0.0,0.0,22344.497607655503,
Gdl-Jard_Terr-007M-250_00-00-00_Inmob-10339-20668,Inm24,Gdl,Jardines de Los Arcos,Ven,Terreno / Lote,250.0,,,7500000.0,,-103.394057,20.668325,151.0,0.0,0.0,30000.0,
Gdl-Jard_Terr-005M-300_00-00-00_Rafae-10339-20669,Inm24,Gdl,Jardines de Los Arcos,Ven,Terreno / Lote,300.0,,,5600000.0,,-103.396808,20.669389,76.0,0.0,0.0,18666.666666666668,
Gdl-Jard_Terr-012M-1354_00-00-00_PALOM-10338-20634,Inm24,Gdl,Jardines de San José,Ven,Terreno / Lote,1354.0,,,12186000.0,,-103.389646,20.634905,286.0,0.0,0.0,9000.0,
Gdl-Jard_Terr-010M-550_00-00-00_GPINM-10338-20664,Inm24,Gdl,Jardines del Bosque,Ven,Terreno / Lote,550.0,,,10500000.0,,-103.380819,20.664383,,0.0,,19090.90909090909,
Gdl-Jard_Terr-016M-971_00-00-00_Capri-10336-20708,Inm24,Gdl,Jardines del Country,Ven,Terreno / Lote,971.0,,,16500000.0,,-103.362061,20.708015,,0.0,0.0,16992.790937178168,
