id,PaginaWeb,Ciudad,Colonia,operacion,tipo_propiedad,area_m2,recamaras,estacionamientos,precio,mantenimiento,longitud,latitud,tiempo_publicacion,Banos_totales,antiguedad_icon,PxM2
Zap-Agra_Cas-006M-169_03-03-02_HUSRe-10338-20712,Inm24,Zap,Agraria,Ven,Cas,169,3.0,2.0,6890000,2000.0,-103.383587,20.712705,,3.5,,40769.23077
Zap-Agua_Cas-004M-274_04-04-00_Manue-10343-20600,Inm24,Zap,Agua Blanca Sur,Ven,Cas,274,4.0,,4000000,,-103.432897,20.600985,,4.0,28.0,14598.54015
Zap-Alcá_Cas-027M-423_03-03-04_DACHV-10342-20696,Inm24,Zap,Alcázar Oriente,Ven,Cas,423,3.0,4.0,27500000,,-103.42628,20.696079,228.0,3.5,8.0,65011.82033
Zap-Alcá_Cas-026M-350_04-03-02_NUBOA-10342-20696,Inm24,Zap,Alcázar Oriente,Ven,Cas,350,4.0,2.0,26256999,,-103.425989,20.696196,,3.5,0.0,75019.99714
Zap-Alcá_Cas-028M-423_03-03-04_DACHV-10342-20696,Inm24,Zap,Alcázar Oriente,Ven,Cas,423,3.0,4.0,28000000,,-103.42628,20.696079,,3.5,,66193.85343
Zap-Alma_Cas-002M-105_02-02-00_MetRe-10347-20783,Inm24,Zap,Alma Terra,Ven,Cas,105,2.0,,2999999,,-103.47725,20.783459,,2.5,0.0,28571.41905
Zap-Alta_Cas-002M-120_03-03-04_veron-10346-20788,Inm24,Zap,Altaluz,Ven,Cas,120,3.0,4.0,2450000,900.0,-103.462137,20.78811,288.0,3.5,5.0,20416.66667
Zap-Alta_Cas-002M-084_02-02-02_Ferna-10346-20786,Inm24,Zap,Altaluz,Ven,Cas,84,2.0,2.0,2000000,800.0,-103.462769,20.786653,24.0,2.5,5.0,23809.52381
Zap-Alte_Cas-002M-091_03-03-02_Centu-10345-20768,Inm24,Zap,Altezza,Ven,Cas,91,3.0,2.0,2399000,700.0,-103.451687,20.76849,55.0,3.0,9.0,26362.63736
Zap-Altu_Cas-001M-092_03-02-02_REIIN-10347-20782,Inm24,Zap,Altus Quintas,Ven,Cas,92,3.0,2.0,1850000,400.0,-103.479719,20.782654,16.0,2.5,10.0,20108.69565
Zap-Alvi_Cas-002M-140_03-03-02_Inmue-10348-20788,Inm24,Zap,Alviento II,Ven,Cas,140,3.0,2.0,2095000,650.0,-103.483333,20.788936,,3.0,,14964.28571
Zap-Alvi_Cas-002M-134_03-03-02_AS01A-10348-20789,Inm24,Zap,Alviento II,Ven,Cas,134,3.0,2.0,2500000,500.0,-103.483645,20.789415,,3.0,,18656.71642
Zap-Ampl_Cas-002M-250_04-03-02_Impac-10350-20804,Inm24,Zap,Ampliación Santa Lucia,Ven,Cas,250,4.0,2.0,2800000,,-103.500566,20.804768,183.0,3.0,8.0,11200.0
Zap-Arco_Cas-003M-105_03-03-01_Franc-10341-20742,Inm24,Zap,Arcos de Zapopan,Ven,Cas,105,3.0,1.0,3150000,,-103.41206,20.742163,41.0,3.0,35.0,30000.0
Zap-Armo_Cas-004M-185_03-03-02_Angel-10344-20746,Inm24,Zap,Armonía,Ven,Cas,185,3.0,2.0,4685000,,-103.443513,20.746337,,3.0,,25324.32432
Zap-Arra_Cas-002M-098_02-03-02_CLICK-10348-20630,Inm24,Zap,Arrayanes Hábitat,Ven,Cas,98,2.0,2.0,2550000,600.0,-103.483334,20.63099,2.0,3.0,14.0,26020.40816
Zap-Arra_Cas-002M-108_03-03-02_PRIMA-10348-20632,Inm24,Zap,Arrayanes Hábitat,Ven,Cas,108,3.0,2.0,2895000,500.0,-103.484925,20.63242,,3.0,,26805.55556
Zap-Arro_Cas-003M-550_04-04-00_INMOB-10334-20738,Inm24,Zap,Arroyo Hondo,Ven,Cas,550,4.0,,3875000,,-103.343377,20.738554,318.0,4.0,21.0,7045.454545
Zap-Arro_Cas-002M-212_00-00-00_KWGRA-10334-20740,Inm24,Zap,Arroyo Hondo,Ven,Cas,212,3.0,,2950000,,-103.347899,20.740873,30.0,2.0,,13915.09434
Zap-Atla_Cas-001M-090_03-01-00_Evers-10339-20716,Inm24,Zap,Atlas Colomos,Ven,Cas,90,3.0,,1900000,,-103.399374,20.716765,,1.0,25.0,21111.11111
Zap-Atla_Cas-014M-350_03-03-04_Grupo-10340-20715,Inm24,Zap,Atlas Colomos,Ven,Cas,350,3.0,4.0,14999000,,-103.401975,20.71568,,3.5,,42854.28571
Zap-Atla_Cas-019M-471_03-03-00_FRAVA-10340-20716,Inm24,Zap,Atlas Colomos,Ven,Cas,471,3.0,,19850000,3500.0,-103.401943,20.71629,,3.5,,42144.37367
Zap-Atla_Cas-011M-450_04-05-03_Royal-10340-20715,Inm24,Zap,Atlas Colomos,Ven,Cas,450,4.0,3.0,11850000,,-103.405439,20.715634,,5.0,0.0,26333.33333
Zap-Ayam_Cas-032M-500_04-04-02_NUBOA-10346-20678,Inm24,Zap,Ayamonte,Ven,Cas,500,4.0,2.0,32500999,,-103.464986,20.678069,73.0,4.5,0.0,65001.998
Zap-Ayam_Cas-029M-400_04-04-02_NUBOA-10346-20678,Inm24,Zap,Ayamonte,Ven,Cas,400,4.0,2.0,29900999,,-103.464986,20.678069,74.0,4.5,0.0,74752.4975
Zap-Bell_Cas-002M-104_02-02-01_MAGNO-10346-20778,Inm24,Zap,Bellissimo,Ven,Cas,104,2.0,1.0,2200000,,-103.464241,20.778653,60.0,2.5,8.0,21153.84615
Zap-Beni_Cas-004M-205_03-03-02_Black-10334-20729,Inm24,Zap,Benito Juárez,Ven,Cas,205,3.0,2.0,4910000,,-103.341813,20.729519,113.0,3.0,4.0,23951.21951
Zap-Beni_Cas-003M-254_03-02-02_ALEJA-10333-20733,Inm24,Zap,Benito Juárez,Ven,Cas,254,3.0,2.0,3900000,,-103.339211,20.733692,60.0,2.0,50.0,15354.33071
Zap-Beni_Cas-004M-231_03-04-02_KALI2-10333-20733,Inm24,Zap,Benito Juárez,Ven,Cas,231,3.0,2.0,4300000,,-103.339211,20.733692,,4.0,0.0,18614.71861
Zap-Bosq_Cas-039M-632_04-03-05_Inspi-10342-20697,Inm24,Zap,Bosque de Los Lagos,Ven,Cas,632,4.0,5.0,39800000,,-103.426208,20.69706,246.0,3.5,0.0,62974.68354
Zap-Bosq_Cas-039M-632_04-04-05_Garan-10342-20697,Inm24,Zap,Bosque de Los Lagos,Ven,Cas,632,4.0,5.0,39800000,,-103.42553,20.697889,37.0,4.5,0.0,62974.68354
Zap-Bosq_Cas-032M-400_04-04-02_NUBOA-10343-20693,Inm24,Zap,Bosque de Los Virreyes,Ven,Cas,400,4.0,2.0,32058999,,-103.432342,20.69393,74.0,4.5,0.0,80147.4975
Zap-Bosq_Cas-003M-096_02-02-02_KWGRA-10340-20760,Inm24,Zap,Bosque de Valdepeñas,Ven,Cas,96,2.0,2.0,3688000,,-103.40207,20.760894,52.0,2.0,,38416.66667
Zap-Bosq_Cas-001M-108_03-02-02_Habix-10343-20771,Inm24,Zap,Bosques del Encino,Ven,Cas,108,3.0,2.0,1990000,,-103.43249,20.771611,9.0,2.0,,18425.92593
Zap-Buga_Cas-005M-157_03-02-02_CASTU-10345-20612,Inm24,Zap,Bugambilias Country,Ven,Cas,157,3.0,2.0,5650000,,-103.455529,20.61275,97.0,2.5,18.0,35987.26115
Zap-Caje_Cas-003M-280_04-04-00_Remax-10342-20586,Inm24,Zap,Cajetes 100,Ven,Cas,280,4.0,,3900000,,-103.423832,20.586725,36.0,4.5,0.0,13928.57143
Zap-Call_Cas-001M-091_03-03-01_Angel-10347-20782,Inm24,Zap,Callejón del Bosque,Ven,Cas,91,3.0,1.0,1570000,,-103.470894,20.782207,,3.0,,17252.74725
Zap-Call_Cas-013M-445_04-04-02_Tratt-10343-20691,Inm24,Zap,Callejón del Parque,Ven,Cas,445,4.0,2.0,13500000,,-103.431168,20.691873,176.0,4.5,35.0,30337.07865
Zap-Cant_Cas-010M-237_04-03-05_Centu-10338-20763,Inm24,Zap,Canteras del Centinela,Ven,Cas,237,4.0,5.0,10950000,,-103.382606,20.763159,106.0,3.0,39.0,46202.53165
Zap-Cant_Cas-003M-130_03-03-02_Kstor-10338-20761,Inm24,Zap,Canteras del Centinela,Ven,Cas,130,3.0,2.0,3890000,450.0,-103.384362,20.761734,11.0,3.0,18.0,29923.07692
Zap-Cant_Cas-003M-138_03-02-01_Remax-10338-20764,Inm24,Zap,Canteras del Centinela,Ven,Cas,138,3.0,1.0,3970000,,-103.38629,20.764197,,2.5,,28768.11594
Zap-Cant_Cas-001M-078_02-01-01_Evers-10338-20764,Inm24,Zap,Canteras del Centinela,Ven,Cas,78,2.0,1.0,1625000,,-103.384027,20.764147,,1.0,,20833.33333
Zap-Cant_Cas-003M-119_02-03-00_MONIC-10333-20727,Inm24,Zap,Canteros,Ven,Cas,119,2.0,,3200000,,-103.339751,20.727156,,3.0,0.0,26890.7563
Zap-Cast_Cas-008M-325_03-04-02_HUSRe-10349-20612,Inm24,Zap,Castaños,Ven,Cas,325,3.0,2.0,8950000,,-103.491291,20.612291,157.0,4.5,3.0,27538.46154
Zap-Cima_Cas-021M-457_04-04-10_VECOR-10343-20721,Inm24,Zap,Cima Real,Ven,Cas,457,4.0,1.0,21490000,,-103.435664,20.721911,114.0,4.0,5.0,47024.07002
Zap-Cima_Cas-015M-346_03-03-02_Cauda-10343-20722,Inm24,Zap,Cima Real,Ven,Cas,346,3.0,2.0,15250000,2388.0,-103.435743,20.722112,64.0,3.0,5.0,44075.14451
Zap-Cima_Cas-013M-277_03-03-04_DORAN-10343-20721,Inm24,Zap,Cima Real,Ven,Cas,277,3.0,4.0,13500000,,-103.435004,20.721308,,3.5,10.0,48736.46209
Zap-Cima_Cas-016M-359_04-05-04_CityR-10343-20720,Inm24,Zap,Cima Real,Ven,Cas,359,4.0,4.0,16900000,,-103.435938,20.72099,,5.5,1.0,47075.20891
Zap-Coli_Cas-004M-096_03-03-02_DiHou-10337-20746,Inm24,Zap,Colina de Los Belenes,Ven,Cas,96,3.0,2.0,4800000,,-103.375336,20.746017,204.0,3.0,7.0,50000.0
Zap-Coli_Cas-002M-119_03-02-02_LICGR-10337-20747,Inm24,Zap,Colina de Los Belenes,Ven,Cas,119,3.0,2.0,2995000,,-103.374474,20.747155,168.0,2.5,0.0,25168.06723
Zap-Coli_Cas-003M-170_03-02-02_LICGR-10337-20744,Inm24,Zap,Colina de Los Belenes,Ven,Cas,170,3.0,2.0,3850000,,-103.37496,20.744761,169.0,2.5,0.0,22647.05882
Zap-Coli_Cas-003M-119_03-02-02_LICGR-10337-20744,Inm24,Zap,Colina de Los Belenes,Ven,Cas,119,3.0,2.0,3100000,,-103.37496,20.744761,,2.0,0.0,26050.42017
Zap-Coli_Cas-007M-292_04-05-02_VECOR-10339-20768,Inm24,Zap,Colinas El Centinela,Ven,Cas,292,4.0,2.0,7900000,,-103.391222,20.768129,45.0,5.0,1.0,27054.79452
Zap-Coli_Cas-004M-149_03-01-02_PRIMA-10339-20768,Inm24,Zap,Colinas El Centinela,Ven,Cas,149,3.0,2.0,4300000,,-103.391222,20.768129,24.0,1.5,10.0,28859.0604
Zap-Coli_Cas-004M-140_03-03-02_MartÃ-10339-20768,Inm24,Zap,Colinas El Centinela,Ven,Cas,140,3.0,2.0,4000000,950.0,-103.391222,20.768129,,3.5,0.0,28571.42857
Zap-Coli_Cas-023M-394_04-05-03_REPRO-10343-20702,Inm24,Zap,Colinas Virreyes,Ven,Cas,394,4.0,3.0,23300000,3300.0,-103.436108,20.702964,101.0,5.0,0.0,59137.05584
Zap-Coli_Cas-018M-380_03-04-04_GuiaE-10343-20701,Inm24,Zap,Colinas Virreyes,Ven,Cas,380,3.0,4.0,18500000,,-103.436096,20.701535,,4.5,,48684.21053
Zap-Coli_Cas-007M-153_03-03-02_QUEEN-10336-20719,Inm24,Zap,Colinas de Atemajac,Ven,Cas,153,3.0,2.0,7500000,,-103.366198,20.719076,135.0,3.5,30.0,49019.60784
Zap-Coli_Cas-033M-415_04-04-04_Punta-10342-20710,Inm24,Zap,Colinas de La Abadía,Ven,Cas,415,4.0,4.0,33500000,,-103.42553,20.7103,271.0,4.5,0.0,80722.89157
Zap-Coli_Cas-008M-150_03-04-02_Maria-10347-20633,Inm24,Zap,Colinas de La Primavera,Ven,Cas,150,3.0,2.0,8890000,,-103.471935,20.633975,,4.0,,59266.66667
Zap-Coli_Cas-002M-190_04-04-03_REIIN-10340-20621,Inm24,Zap,Colinas de Las Águilas,Ven,Cas,190,4.0,3.0,2900000,,-103.40901,20.62179,17.0,4.0,24.0,15263.15789
Zap-Coli_Cas-005M-170_03-03-02_RENOV-10341-20621,Inm24,Zap,Colinas de Las Águilas,Ven,Cas,170,3.0,2.0,5390000,,-103.411012,20.621925,,3.0,0.0,31705.88235
Zap-Coli_Cas-006M-203_04-04-02_Adell-10341-20622,Inm24,Zap,Colinas de Las Águilas,Ven,Cas,203,4.0,2.0,6490000,,-103.413316,20.622861,,4.0,0.0,31970.44335
Zap-Coli_Cas-001M-078_02-01-01_Evers-10342-20766,Inm24,Zap,Colinas de Los Robles,Ven,Cas,78,2.0,1.0,1635000,,-103.421432,20.766073,1.0,1.0,0.0,20961.53846
Zap-Coli_Cas-001M-078_02-01-01_Evers-10342-20765,Inm24,Zap,Colinas de Los Robles,Ven,Cas,78,2.0,1.0,1635000,,-103.422026,20.765421,310.0,1.0,19.0,20961.53846
Zap-Coli_Cas-001M-078_02-01-01_Evers-10342-20765,Inm24,Zap,Colinas de Los Robles,Ven,Cas,78,2.0,1.0,1645000,,-103.422026,20.765421,308.0,1.0,30.0,21089.74359
Zap-Coli_Cas-001M-078_02-01-01_Evers-10342-20765,Inm24,Zap,Colinas de Los Robles,Ven,Cas,78,2.0,1.0,1625000,,-103.422026,20.765421,,1.0,,20833.33333
Zap-Coli_Cas-006M-194_02-02-02_RAFAE-10340-20693,Inm24,Zap,Colinas de San Javier,Ven,Cas,194,2.0,2.0,6500000,,-103.403534,20.693841,,2.5,35.0,33505.15464
