id,PaginaWeb,Ciudad,Colonia,operacion,tipo_propiedad,area_m2,recamaras,estacionamientos,precio,mantenimiento,longitud,latitud,tiempo_publicacion,Banos_totales,antiguedad_icon,PxM2
Zap-Ciud_Dep-012K-055_01-01-01_REIIN-10341-20660,Inm24,Zap,Ciudad de Los Niños,Ren,Dep,55,1.0,1.0,12000,,-103.410768,20.660653,0.0,1.0,5.0,218.1818182
Zap-Ciud_Dep-013K-060_02-01-01_Cumbr-10341-20663,Inm24,Zap,Ciudad de Los Niños,Ren,Dep,60,2.0,1.0,13800,,-103.414842,20.663457,4.0,1.0,4.0,230.0
Zap-Ciud_Dep-026K-150_03-02-02_GRUPO-10340-20655,Inm24,Zap,Ciudad del Sol,Ren,Dep,150,3.0,2.0,26000,,-103.4011,20.655664,38.0,2.0,10.0,173.3333333
Zap-Ciud_Dep-025K-162_03-02-02_VECOR-10340-20650,Inm24,Zap,Ciudad del Sol,Ren,Dep,162,3.0,2.0,25000,2000.0,-103.40626,20.650106,26.0,2.0,40.0,154.3209877
Zap-Ciud_Dep-024K-146_04-04-02_MARIS-10340-20657,Inm24,Zap,Ciudad del Sol,Ren,Dep,146,4.0,2.0,24000,3300.0,-103.402761,20.657582,27.0,4.5,5.0,164.3835616
Zap-Cole_Dep-014K-072_02-02-01_JoseL-10343-20747,Inm24,Zap,Colegio del Aire,Ren,Dep,72,2.0,1.0,14000,,-103.438504,20.747871,1.0,2.0,1.0,194.4444444
Zap-Coli_Dep-040K-144_02-03-00_ROSMA-10343-20703,Inm24,Zap,Colinas Virreyes,Ren,Dep,144,2.0,,40000,1.0,-103.436086,20.703038,146.0,3.5,0.0,277.7777778
Zap-Coli_Dep-008K-047_02-01-00_Sotoy-10341-20765,Inm24,Zap,Colinas de Los Robles,Ren,Dep,47,2.0,,8900,,-103.418165,20.765564,1.0,1.0,4.0,189.3617021
Zap-Coli_Dep-019K-070_01-01-00_Ramon-10341-20695,Inm24,Zap,Colinas de San Javier,Ren,Dep,70,1.0,,19600,800.0,-103.410643,20.695236,51.0,1.0,3.0,280.0
Zap-Coli_Dep-040K-159_03-03-02_ROSMA-10340-20697,Inm24,Zap,Colinas de San Javier,Ren,Dep,159,3.0,2.0,40000,,-103.4035,20.697802,,3.0,5.0,251.572327
Zap-Coli_Dep-030K-093_02-02-01_GFCGr-10340-20697,Inm24,Zap,Colinas de San Javier,Ren,Dep,93,2.0,1.0,30500,,-103.405082,20.697039,34.0,2.5,9.0,327.9569892
Zap-Coli_Dep-012K-076_02-01-01_Openh-10340-20752,Inm24,Zap,Colinas del Rey,Ren,Dep,76,2.0,1.0,12000,800.0,-103.407487,20.752167,10.0,1.0,6.0,157.8947368
Zap-Cons_Dep-018K-058_01-02-02_OLIVI-10336-20735,Inm24,Zap,Constitución,Ren,Dep,58,1.0,2.0,18000,,-103.367614,20.735086,1.0,2.0,0.0,310.3448276
Zap-Cord_Dep-012K-060_01-01-01_Momen-10342-20670,Inm24,Zap,Cordilleras,Ren,Dep,60,1.0,1.0,12990,220.0,-103.420113,20.670942,7.0,1.0,20.0,216.5
Zap-Cord_Dep-022K-087_02-02-02_Onest-10341-20669,Inm24,Zap,Cordilleras,Ren,Dep,87,2.0,2.0,22000,,-103.417726,20.669853,13.0,2.0,1.0,252.8735632
