id,PaginaWeb,Ciudad,Colonia,operacion,tipo_propiedad,area_m2,recamaras,estacionamientos,precio,mantenimiento,longitud,latitud,tiempo_publicacion,Banos_totales,antiguedad_icon,PxM2,Fecha_Scrap
Gdl-Obla_Ofc-008M-499_00-02-00_FINCA-10332-20674,Inm24,Gdl,Oblatos,Ven,Ofc,499.0,,,8500000.0,,-103.326614,20.674829,,2.0,10,17034.068136272545,01/09/2025
Gdl-Obre_Ofc-016M-836_10-00-00_Fiabl-10337-20667,Inm24,Gdl,Obrera,Ven,Ofc,836.0,10.0,,16500000.0,,-103.371579,20.667597,66.0,0.0,0,19736.84210526316,01/09/2025
Gdl-Obre_Ofc-011M-385_03-00-00_ALIMA-10337-20670,Inm24,Gdl,Obrera,Ven,Ofc,385.0,3.0,,11490000.0,,-103.374275,20.670555,,0.0,40,29844.155844155845,01/09/2025
Gdl-Obre_Ofc-016M-585_10-00-00_ESPAC-10337-20667,Inm24,Gdl,Obrera,Ven,Ofc,585.0,10.0,,16500000.0,,-103.371296,20.667458,155.0,0.0,0,28205.128205128207,01/09/2025
Gdl-Olim_Ofc-019M-1181_17-02-00_Victo-10332-20652,Inm24,Gdl,Olimpica,Ven,Ofc,1181.0,17.0,,19600000.0,,-103.321104,20.652488,,2.5,9,16596.104995766298,01/09/2025
Gdl-Prad_Ofc-004M-100_01-01-00_Enriq-10338-20685,Inm24,Gdl,Prados Providencia,Ven,Ofc,100.0,1.0,,4500000.0,,-103.386496,20.68502,182.0,1.0,40,45000.0,01/09/2025
Gdl-SanB_Ofc-017M-713_00-00-00_Kenke-10336-20699,Inm24,Gdl,San Bernardo,Ven,Ofc,713.0,,,17100000.0,,-103.360501,20.699115,23.0,0.0,0,23983.169705469845,01/09/2025
Gdl-SanJ_Ofc-004M-177_01-01-00_GoldH-10332-20680,Inm24,Gdl,San Juan de Dios,Ven,Ofc,177.0,1.0,,4280000.0,,-103.32773,20.680373,57.0,1.5,35,24180.790960451977,01/09/2025
Gdl-Sant_Ofc-023M-645_11-02-00_GRUPO-10333-20712,Inm24,Gdl,Santa Elena de La Cruz,Ven,Ofc,645.0,11.0,,23950000.0,,-103.339953,20.712766,90.0,2.5,0,37131.78294573644,01/09/2025
Gdl-Vall_Ofc-016M-327_06-01-00_FBInm-10338-20672,Inm24,Gdl,Vallarta,Ven,Ofc,327.0,6.0,,16380000.0,,-103.386898,20.672237,55.0,1.5,25,50091.74311926605,01/09/2025
Gdl-Vall_Ofc-027M-664_05-00-00_ÚNICA-10340-20677,Inm24,Gdl,Vallarta San Jorge,Ven,Ofc,664.0,5.0,,27909000.0,,-103.400295,20.677995,,0.0,0,42031.6265060241,01/09/2025
Gdl-Vict_Ofc-020M-520_08-05-04_VECOR-10339-20650,Inm24,Gdl,Victoria,Ven,Ofc,520.0,8.0,4.0,20000000.0,,-103.3966,20.650907,7.0,5.0,0,38461.53846153846,01/09/2025
Gdl-Zona_Ofc-004M-233_01-00-00_KWGRA-10336-20641,Inm24,Gdl,Zona Industrial,Ven,Ofc,233.0,1.0,,4490000.0,,-103.362346,20.641123,1.0,2.0,,19270.38626609442,01/09/2025
