id,PaginaWeb,Ciudad,Colonia,operacion,tipo_propiedad,area_m2,recamaras,estacionamientos,precio,mantenimiento,longitud,latitud,tiempo_publicacion,Banos_totales,antiguedad_icon,PxM2
Zap-Call_CasC-013M-320_04-04-02_GRUPO-10343-20691,Inm24,Zap,Callejón del Parque,Ven,CasC,320,4.0,2.0,13500000,,-103.431168,20.691873,,4.5,0.0,42187.5
Zap-Cami_CasC-018M-475_04-04-05_Servi-10341-20673,Inm24,Zap,Camino Real,Ven,CasC,475,4.0,5.0,18000000,,-103.41068,20.673445,116.0,4.5,31.0,37894.73684
Zap-Caña_CasC-003M-092_02-02-00_Conta-10340-20754,Inm24,Zap,Cañadas de San Lorenzo,Ven,CasC,92,2.0,,3300000,,-103.406448,20.754774,,2.5,,35869.56522
Zap-Cent_CasC-008M-213_04-04-02_Piso9-10338-20716,Inm24,Zap,Centro,Ven,CasC,213,4.0,2.0,8950000,,-103.389471,20.716714,,4.5,0.0,42018.77934
Zap-Chap_CasC-005M-122_03-02-02_CAPIT-10344-20657,Inm24,Zap,Chapalita Inn,Ven,CasC,122,3.0,2.0,5250000,,-103.444674,20.657325,,2.5,,43032.78689
Zap-Chap_CasC-003M-165_02-02-02_NUCLE-10339-20658,Inm24,Zap,Chapalita Sur,Ven,CasC,165,2.0,2.0,3990000,1200.0,-103.398309,20.658731,,2.5,,24181.81818
Zap-Ciud_CasC-006M-260_03-03-02_CityR-10344-20685,Inm24,Zap,Ciudad Granja,Ven,CasC,260,3.0,2.0,6390000,,-103.447351,20.685958,,3.5,0.0,24576.92308
Zap-Ciud_CasC-004M-135_03-02-02_TERRA-10345-20687,Inm24,Zap,Ciudad Granja,Ven,CasC,135,3.0,2.0,4500000,600.0,-103.454737,20.687107,,2.5,,33333.33333
Zap-Ciud_CasC-007M-100_03-02-02_AGLEZ-10345-20685,Inm24,Zap,Ciudad Granja,Ven,CasC,100,3.0,2.0,7300000,,-103.450466,20.685298,,2.5,0.0,73000.0
Zap-Ciud_CasC-007M-174_03-02-02_KALI2-10345-20685,Inm24,Zap,Ciudad Granja,Ven,CasC,174,3.0,2.0,7200000,,-103.450669,20.685232,,2.5,0.0,41379.31034
Zap-Coli_CasC-004M-160_04-03-02_AURAI-10339-20768,Inm24,Zap,Colinas El Centinela,Ven,CasC,160,4.0,2.0,4540000,1050.0,-103.391222,20.768129,,3.5,,28375.0
Zap-Coli_CasC-009M-306_04-03-03_Mayra-10336-20720,Inm24,Zap,Colinas de Atemajac,Ven,CasC,306,4.0,3.0,9440000,,-103.363339,20.720993,,3.5,,30849.6732
Zap-Coli_CasC-003M-142_03-02-02_GIBRA-10342-20773,Inm24,Zap,Colinas del Rio,Ven,CasC,142,3.0,2.0,3160000,450.0,-103.420639,20.773406,,2.5,,22253.52113
Zap-Coli_CasC-002M-110_03-02-02_Iberl-10342-20771,Inm24,Zap,Colinas del Rio,Ven,CasC,110,3.0,2.0,2680000,500.0,-103.42054,20.771089,,2.5,,24363.63636
Zap-Coli_CasC-003M-115_03-02-02_BUYHA-10341-20771,Inm24,Zap,Colinas del Rio,Ven,CasC,115,3.0,2.0,3900000,,-103.418642,20.771305,,2.5,0.0,33913.04348
Zap-Coto_CasC-003M-104_03-03-02_Sonia-10342-20782,Inm24,Zap,Coto Abie,Ven,CasC,104,3.0,2.0,3177560,,-103.422113,20.782322,,3.0,0.0,30553.46154
Zap-Coto_CasC-002M-122_03-02-02_Realt-10342-20778,Inm24,Zap,Coto Altaterra,Ven,CasC,122,3.0,2.0,2850000,750.0,-103.424471,20.778651,,2.5,,23360.65574
Zap-Coto_CasC-002M-082_03-02-02_Anafa-10342-20777,Inm24,Zap,Coto Altaterra II,Ven,CasC,82,3.0,2.0,2490000,,-103.424469,20.777616,,2.0,,30365.85366
Zap-Coto_CasC-003M-123_03-02-02_PAMAG-10342-20777,Inm24,Zap,Coto Altaterra II,Ven,CasC,123,3.0,2.0,3500000,,-103.424145,20.777153,,2.5,,28455.28455
Zap-Coto_CasC-002M-122_02-02-00_INMUD-10342-20777,Inm24,Zap,Coto Altaterra II,Ven,CasC,122,2.0,,2950000,750.0,-103.424469,20.777616,,2.5,,24180.32787
Zap-Coto_CasC-003M-110_03-02-02_Pulpp-10342-20791,Inm24,Zap,Coto Alva 1,Ven,CasC,110,3.0,2.0,3498000,,-103.422687,20.791448,,2.5,,31800.0
Zap-Coto_CasC-002M-076_03-01-02_FINCA-10342-20791,Inm24,Zap,Coto Alva 3,Ven,CasC,76,3.0,2.0,2600000,1100.0,-103.425641,20.791324,,1.5,,34210.52632
Zap-Coto_CasC-001M-116_04-02-02_Capri-10347-20784,Inm24,Zap,Coto Casa Blanca,Ven,CasC,116,4.0,2.0,1790000,,-103.47172,20.784934,,2.5,,15431.03448
Zap-Coto_CasC-004M-162_03-02-02_Aleja-10341-20787,Inm24,Zap,Coto Creta,Ven,CasC,162,3.0,2.0,4399000,,-103.41616,20.787449,,2.5,0.0,27154.32099
Zap-Coto_CasC-004M-217_03-03-02_Denis-10341-20789,Inm24,Zap,Coto Creta,Ven,CasC,217,3.0,2.0,4890000,800.0,-103.41621,20.789225,,3.5,0.0,22534.56221
