id,PaginaWeb,Ciudad,Colonia,operacion,tipo_propiedad,area_m2,recamaras,estacionamientos,precio,mantenimiento,longitud,latitud,tiempo_publicacion,Banos_totales,antiguedad_icon,PxM2,Fecha_Scrap
Gdl-Bosq_Cas-010M-468_04-05-00_RealH-10339-20644,Inm24,Gdl,Bosques de La Victoria,Ven,Cas,468.0,4.0,,10300000.0,,-103.39265,20.644017,2.0,5.0,0.0,22008.547008547008,
Gdl-Chap_Cas-006M-198_03-03-02_CasaL-10336-20694,Inm24,Gdl,Chapultepec Country,Ven,Cas,198.0,3.0,2.0,6000000.0,,-103.366442,20.694984,99.0,3.0,40.0,30303.030303030304,
Gdl-Circ_Cas-002M-181_03-02-01_SIERR-10331-20694,Inm24,Gdl,Circunvalación Belisario,Ven,Cas,181.0,3.0,1.0,2700000.0,,-103.313771,20.694685,13.0,2.0,20.0,14917.127071823204,
Gdl-Circ_Cas-870K-031_01-01-00_Evers-10331-20692,Inm24,Gdl,Circunvalación Belisario,Ven,Cas,31.0,1.0,,870000.0,,-103.31461,20.692799,,1.0,37.0,28064.516129032258,
Gdl-Circ_Cas-003M-138_02-02-01_DAMAV-10331-20694,Inm24,Gdl,Circunvalación Belisario,Ven,Cas,138.0,2.0,1.0,3800000.0,,-103.317582,20.694796,151.0,2.5,0.0,27536.23188405797,
Gdl-Circ_Cas-002M-105_02-01-01_ALTID-10331-20694,Inm24,Gdl,Circunvalación Belisario,Ven,Cas,105.0,2.0,1.0,2310000.0,,-103.315608,20.694446,41.0,1.0,30.0,22000.0,
Gdl-Circ_Cas-007M-480_04-05-03_ALTIM-10329-20687,Inm24,Gdl,Circunvalación Oblatos,Ven,Cas,480.0,4.0,3.0,7890000.0,,-103.299161,20.687653,,5.5,30.0,16437.5,
Gdl-Circ_Cas-003M-193_01-01-00_GuiaE-10330-20687,Inm24,Gdl,Circunvalación Oblatos,Ven,Cas,193.0,1.0,,3300000.0,,-103.300261,20.687647,19.0,1.0,,17098.445595854922,
Gdl-Circ_Cas-003M-072_01-01-02_Lucia-10329-20684,Inm24,Gdl,Circunvalación Oblatos,Ven,Cas,72.0,1.0,2.0,3000000.0,,-103.297727,20.684917,66.0,1.0,10.0,41666.66666666666,
Gdl-Coli_Cas-003M-090_04-02-01_Danie-10330-20724,Inm24,Gdl,Colinas de Huentitán,Ven,Cas,90.0,4.0,1.0,3080000.0,,-103.302692,20.72448,50.0,2.5,0.0,34222.22222222222,
Gdl-Coli_Cas-030M-636_04-05-04_LUXUR-10339-20705,Inm24,Gdl,Colinas de San Javier,Ven,Cas,636.0,4.0,4.0,30000000.0,,-103.395419,20.705089,42.0,5.5,35.0,47169.81132075472,
Gdl-Coli_Cas-045M-731_04-04-05_TULEG-10339-20695,Inm24,Gdl,Colinas de San Javier,Ven,Cas,731.0,4.0,5.0,45000000.0,,-103.397875,20.695013,184.0,4.5,35.0,61559.50752393981,
Gdl-Coli_Cas-023M-441_03-04-03_GIBRA-10339-20700,Inm24,Gdl,Colinas de San Javier,Ven,Cas,441.0,3.0,3.0,23880000.0,,-103.395216,20.700785,66.0,4.0,20.0,54149.65986394558,
Gdl-Coli_Cas-015M-405_03-03-03_Piso9-10340-20699,Inm24,Gdl,Colinas de San Javier,Ven,Cas,405.0,3.0,3.0,15490000.0,1450.0,-103.400289,20.699603,,3.5,,38246.91358024691,
Gdl-Colo_Cas-007M-285_03-03-02_LICGR-10337-20640,Inm24,Gdl,Colon Industrial,Ven,Cas,285.0,3.0,2.0,7500000.0,,-103.372181,20.640148,325.0,3.5,1.0,26315.78947368421,
Gdl-Colo_Cas-004M-233_04-03-01_PRYAg-10337-20640,Inm24,Gdl,Colon Industrial,Ven,Cas,233.0,4.0,1.0,4490000.0,,-103.373485,20.640138,68.0,3.0,42.0,19270.38626609442,
Gdl-Coun_Cas-019M-404_03-03-04_VERME-10337-20700,Inm24,Gdl,Country Club,Ven,Cas,404.0,3.0,4.0,19750000.0,4000.0,-103.37068,20.700503,51.0,3.5,5.0,48886.13861386139,
Gdl-Coun_Cas-024M-485_04-04-04_ALEJA-10336-20704,Inm24,Gdl,Country Club,Ven,Cas,485.0,4.0,4.0,24840000.0,,-103.365216,20.704924,207.0,4.5,50.0,51216.49484536082,
Gdl-Coun_Cas-017M-284_03-03-04_Dinah-10337-20710,Inm24,Gdl,Country Club,Ven,Cas,284.0,3.0,4.0,17800000.0,2700.0,-103.373455,20.710892,213.0,3.5,23.0,62676.05633802817,
Gdl-DelB_Cas-007M-453_04-04-03_Urban-10338-20654,Inm24,Gdl,Del Bosque,Ven,Cas,453.0,4.0,3.0,7500000.0,,-103.386889,20.654575,,4.5,45.0,16556.29139072848,
Gdl-DelB_Cas-012M-486_03-04-04_MGInm-10338-20655,Inm24,Gdl,Del Bosque,Ven,Cas,486.0,3.0,4.0,12000000.0,,-103.385896,20.655854,44.0,4.5,25.0,24691.35802469136,
Gdl-DelB_Cas-008M-307_04-04-04_TECNO-10338-20653,Inm24,Gdl,Del Bosque,Ven,Cas,307.0,4.0,4.0,8500000.0,,-103.38831,20.65366,150.0,4.0,,27687.296416938112,
Gdl-DelB_Cas-008M-307_04-04-04_iadIn-10338-20653,Inm24,Gdl,Del Bosque,Ven,Cas,307.0,4.0,4.0,8500000.0,,-103.38834,20.653746,,4.5,10.0,27687.296416938112,
Gdl-Eche_Cas-003M-160_04-03-04_RealH-10336-20624,Inm24,Gdl,Echeverria,Ven,Cas,160.0,4.0,4.0,3550000.0,,-103.363712,20.624514,84.0,3.5,0.0,22187.5,
Gdl-ElBe_Cas-002M-090_04-03-01_INMOB-10327-20688,Inm24,Gdl,El Bethel,Ven,Cas,90.0,4.0,1.0,2150000.0,,-103.272943,20.688598,165.0,3.0,10.0,23888.88888888889,
Gdl-ElCa_Cas-002M-190_02-02-00_ZAICO-10338-20620,Inm24,Gdl,El Carmen,Ven,Cas,190.0,2.0,,2100000.0,,-103.385889,20.620405,,2.0,35.0,11052.631578947368,
Gdl-ElDe_Cas-003M-117_03-03-01_Creac-10334-20633,Inm24,Gdl,El Dean,Ven,Cas,117.0,3.0,1.0,3499000.0,,-103.34852,20.633342,17.0,3.0,0.0,29905.982905982903,
Gdl-ElDe_Cas-003M-089_03-03-01_Evers-10334-20633,Inm24,Gdl,El Dean,Ven,Cas,89.0,3.0,1.0,3499000.0,,-103.348759,20.633964,12.0,3.0,0.0,39314.60674157304,
Gdl-ElRe_Cas-003M-198_04-01-01_Inmue-10334-20685,Inm24,Gdl,El Retiro,Ven,Cas,198.0,4.0,1.0,3499000.0,,-103.340908,20.685747,102.0,1.5,79.0,17671.717171717173,
Gdl-ElRe_Cas-003M-210_01-02-00_SIERR-10333-20686,Inm24,Gdl,El Retiro,Ven,Cas,210.0,1.0,,3500000.0,,-103.338368,20.686891,13.0,2.0,55.0,16666.666666666668,
Gdl-ElRe_Cas-003M-262_04-03-01_Carol-10333-20683,Inm24,Gdl,El Retiro,Ven,Cas,262.0,4.0,1.0,3600000.0,,-103.339648,20.683219,163.0,3.0,50.0,13740.458015267175,
Gdl-ElRo_Cas-012M-618_04-05-02_Herna-10332-20639,Inm24,Gdl,El Rosario,Ven,Cas,618.0,4.0,2.0,12000000.0,,-103.326894,20.639104,200.0,5.5,,19417.47572815534,
Gdl-ElRo_Cas-002M-097_03-02-01_LUISH-10332-20634,Inm24,Gdl,El Rosario,Ven,Cas,97.0,3.0,1.0,2800000.0,,-103.326643,20.634271,111.0,2.0,30.0,28865.9793814433,
Gdl-ElRo_Cas-002M-102_02-01-00_GDLPr-10332-20639,Inm24,Gdl,El Rosario,Ven,Cas,102.0,2.0,,2645000.0,,-103.328409,20.639444,15.0,1.5,0.0,25931.37254901961,
