id,PaginaWeb,Ciudad,operacion,tipo_propiedad,area_m2,recamaras,estacionamientos,Banos,precio,mantenimiento,Colonia,longitud,latitud,tiempo_publicacion,Banos_totales,antigüedad_icon,PxM2
Zap-Roya_Cas-014M-412_04-04-02_ASESO-10342-20708,Zapopan,Royal Country,Venta,Casa,412,4.0,2.0,4.5,14500000,35194.17,2200.0,-103.421534,20.708033,231.0,30,,35194.175
Zap-Roya_Cas-015M-412_04-04-02_ASESO-10342-20708,Zapopan,Royal Country,Venta,Casa,412,4.0,2.0,4.5,15500000,37621.36,2200.0,-103.421534,20.708033,101.0,30,,37621.359
Zap-Roya_Cas-015M-412_03-03-02_SIERR-10342-20708,Zapopan,Royal Country,Venta,Casa,412,3.0,2.0,3.5,15500000,37621.36,2200.0,-103.421534,20.708033,97.0,30,,37621.359
