id,PaginaWeb,Ciudad,Colonia,operacion,tipo_propiedad,area_m2,recamaras,estacionamientos,precio,mantenimiento,longitud,latitud,tiempo_publicacion,Banos_totales,antiguedad_icon,PxM2
Gdl-Horm_Dep-001M-063_02-02-02_Impac-10330-20651,Inm24,Gdl,Hormiguero,Ven,Dep,63,2.0,2.0,1870000,900.0,-103.30259,20.651443,13.0,2.0,12.0,29682.53968
Gdl-Huen_Dep-001M-060_02-01-01_HOMEL-10329-20714,Inm24,Gdl,Huentitán El Alto,Ven,Dep,60,2.0,1.0,1950000,1200.0,-103.299375,20.714487,34.0,1.0,9.0,32500.0
Gdl-Huen_Dep-002M-058_02-01-01_Centu-10330-20721,Inm24,Gdl,Huentitán El Alto,Ven,Dep,58,2.0,1.0,2250000,,-103.302574,20.721148,,1.0,5.0,38793.10345
Gdl-Inde_Dep-002M-055_02-01-00_CasaL-10332-20703,Inm24,Gdl,Independencia,Ven,Dep,55,2.0,,2366833,,-103.327497,20.703455,,1.0,0.0,43033.32727
Gdl-Inde_Dep-003M-087_01-01-00_Bless-10333-20689,Inm24,Gdl,Independencia Oriente,Ven,Dep,87,1.0,,3270000,,-103.333075,20.689423,86.0,1.5,0.0,37586.2069
Gdl-Inde_Dep-002M-074_02-02-00_Bless-10333-20689,Inm24,Gdl,Independencia Oriente,Ven,Dep,74,2.0,,2670000,,-103.333075,20.689423,84.0,2.0,0.0,36081.08108
Gdl-Jard_Dep-001M-070_02-01-01_DGIIN-10337-20644,Inm24,Gdl,Jardines de La Cruz,Ven,Dep,70,2.0,1.0,1680000,200.0,-103.376584,20.644242,89.0,1.0,25.0,24000.0
Gdl-Jard_Dep-001M-083_01-02-00_Evers-10330-20648,Inm24,Gdl,Jardines de La Paz,Ven,Dep,83,1.0,,1980000,,-103.306154,20.648079,36.0,2.0,30.0,23855.42169
Gdl-Jard_Dep-001M-083_03-02-01_Evers-10330-20648,Inm24,Gdl,Jardines de La Paz,Ven,Dep,83,3.0,1.0,1980000,,-103.306154,20.648079,36.0,2.0,20.0,23855.42169
Gdl-Jard_Dep-002M-084_03-02-01_inmob-10338-20632,Inm24,Gdl,Jardines de San José,Ven,Dep,84,3.0,1.0,2750000,,-103.383281,20.632087,39.0,2.0,20.0,32738.09524
Gdl-Jard_Dep-001M-055_02-01-00_Evolu-10332-20635,Inm24,Gdl,Jardines del Rosario,Ven,Dep,55,2.0,,1299000,350.0,-103.324454,20.635704,206.0,1.0,30.0,23618.18182
Gdl-Jard_Dep-001M-055_02-01-02_Evolu-10332-20635,Inm24,Gdl,Jardines del Rosario,Ven,Dep,55,2.0,2.0,1450000,300.0,-103.324454,20.635704,124.0,1.0,30.0,26363.63636
Gdl-Jard_Dep-001M-062_02-01-01_CityR-10339-20624,Inm24,Gdl,Jardines del Sauz,Ven,Dep,62,2.0,1.0,1250000,,-103.394689,20.624312,170.0,1.0,0.0,20161.29032
Gdl-Jard_Dep-001M-062_02-01-01_LIAIN-10339-20627,Inm24,Gdl,Jardines del Sauz,Ven,Dep,62,2.0,1.0,1250000,,-103.393855,20.627004,86.0,1.0,33.0,20161.29032
Gdl-Jard_Dep-001M-060_02-01-01_REIIN-10339-20631,Inm24,Gdl,Jardines del Sur,Ven,Dep,60,2.0,1.0,1665000,,-103.390271,20.631939,8.0,1.0,20.0,27750.0
Gdl-Jard_Dep-002M-061_03-02-01_ASESO-10339-20634,Inm24,Gdl,Jardines del Sur,Ven,Dep,61,3.0,1.0,2180000,,-103.395292,20.634839,21.0,2.0,13.0,35737.70492
Gdl-Jard_Dep-001M-059_02-01-01_MyL0-10339-20634,Inm24,Gdl,Jardines del Sur,Ven,Dep,59,2.0,1.0,1950000,,-103.392046,20.63463,176.0,1.0,30.0,33050.84746
Gdl-Jard_Dep-002M-068_03-01-01_MyL0-10339-20634,Inm24,Gdl,Jardines del Sur,Ven,Dep,68,3.0,1.0,2420000,,-103.392046,20.63463,177.0,1.0,30.0,35588.23529
Gdl-LaCr_Dep-002M-070_02-01-01_ROGEL-10338-20640,Inm24,Gdl,La Cruz,Ven,Dep,70,2.0,1.0,2790000,500.0,-103.38861,20.640657,2.0,1.0,0.0,39857.14286
Gdl-LaGu_Dep-003M-077_02-02-01_VECOR-10335-20713,Inm24,Gdl,La Guadalupana,Ven,Dep,77,2.0,1.0,3596131,1732.0,-103.354486,20.713302,50.0,2.0,1.0,46703.0
Gdl-LaLo_Dep-001M-041_01-01-00_GuiaE-10332-20659,Inm24,Gdl,La Loma,Ven,Dep,41,1.0,,1500000,800.0,-103.321979,20.659898,345.0,1.0,,36585.36585
Gdl-LaPe_Dep-002M-106_03-03-02_Angel-10331-20665,Inm24,Gdl,La Penal,Ven,Dep,106,3.0,2.0,2590000,500.0,-103.312646,20.665406,131.0,3.0,0.0,24433.96226
Gdl-LaPe_Dep-002M-073_02-02-01_Centu-10331-20668,Inm24,Gdl,La Penal,Ven,Dep,73,2.0,1.0,2263458,700.0,-103.311057,20.668334,64.0,2.0,0.0,31006.27397
Gdl-Lago_Dep-860K-037_01-01-00_SIPSo-10327-20671,Inm24,Gdl,Lagos de Oriente,Ven,Dep,37,1.0,,860000,,-103.270248,20.671891,,1.0,0.0,23243.24324
Gdl-LasC_Dep-002M-054_01-01-01_PRIMA-10334-20663,Inm24,Gdl,Las Conchas,Ven,Dep,54,1.0,1.0,2590000,,-103.34298,20.663218,215.0,1.0,0.0,47962.96296
Gdl-LasC_Dep-002M-101_02-02-02_Acier-10333-20661,Inm24,Gdl,Las Conchas,Ven,Dep,101,2.0,2.0,2990000,,-103.338901,20.661551,44.0,2.0,2.0,29603.9604
Gdl-Libe_Dep-001M-068_02-01-01_citla-10329-20670,Inm24,Gdl,Libertad,Ven,Dep,68,2.0,1.0,1390000,,-103.298523,20.670979,73.0,1.0,0.0,20441.17647
Gdl-Loma_Dep-009M-190_03-03-04_BaseR-10338-20691,Inm24,Gdl,Lomas de Providencia,Ven,Dep,190,3.0,4.0,9490000,,-103.386122,20.691823,77.0,3.5,12.0,49947.36842
Gdl-Loma_Dep-004M-071_02-01-01_david-10338-20695,Inm24,Gdl,Lomas de Providencia,Ven,Dep,71,2.0,1.0,4500000,,-103.384951,20.695117,87.0,1.0,0.0,63380.28169
Gdl-Loma_Dep-006M-135_03-02-02_Adell-10338-20694,Inm24,Gdl,Lomas de Providencia,Ven,Dep,135,3.0,2.0,6450000,,-103.385072,20.694543,177.0,2.0,1.0,47777.77778
Gdl-Loma_Dep-004M-071_01-01-01_ReMax-10338-20695,Inm24,Gdl,Lomas de Providencia,Ven,Dep,71,1.0,1.0,4750000,,-103.384951,20.695117,,1.0,1.0,66901.40845
Gdl-Loma_Dep-001M-061_02-01-00_Viter-10328-20684,Inm24,Gdl,Lomas de San Eugenio,Ven,Dep,61,2.0,,1150000,,-103.285829,20.684392,206.0,1.0,33.0,18852.45902
Gdl-Loma_Dep-001M-072_02-02-00_GDLPr-10328-20684,Inm24,Gdl,Lomas de San Eugenio,Ven,Dep,72,2.0,,1935000,1.0,-103.288185,20.684197,130.0,2.0,24.0,26875.0
Gdl-Loma_Dep-001M-074_02-01-01_Sandr-10328-20683,Inm24,Gdl,Lomas de San Eugenio,Ven,Dep,74,2.0,1.0,1595000,100.0,-103.288248,20.683639,22.0,1.0,0.0,21554.05405
Gdl-Loma_Dep-001M-060_02-01-01_VIRID-10331-20723,Inm24,Gdl,Lomas del Paraíso I,Ven,Dep,60,2.0,1.0,1500000,,-103.318436,20.723443,78.0,1.0,25.0,25000.0
Gdl-Loma_Dep-001M-049_02-01-01_sergi-10331-20727,Inm24,Gdl,Lomas del Paraíso III,Ven,Dep,49,2.0,1.0,1900000,,-103.316907,20.727938,8.0,1.0,7.0,38775.5102
Gdl-Lópe_Dep-001M-050_02-01-00_Urban-10336-20620,Inm24,Gdl,López Portillo,Ven,Dep,50,2.0,,1717000,300.0,-103.367837,20.620171,,1.0,0.0,34340.0
Gdl-Maga_Dep-001M-064_02-01-01_Conce-10331-20658,Inm24,Gdl,Magaña,Ven,Dep,64,2.0,1.0,1890000,,-103.316845,20.658109,108.0,1.0,15.0,29531.25
Gdl-Maga_Dep-001M-062_03-01-01_Bless-10331-20658,Inm24,Gdl,Magaña,Ven,Dep,62,3.0,1.0,1890000,,-103.316845,20.658109,223.0,1.0,7.0,30483.87097
Gdl-Mexi_Dep-001M-048_01-01-01_VECOR-10334-20666,Inm24,Gdl,Mexicaltzingo,Ven,Dep,48,1.0,1.0,1919066,,-103.346852,20.666358,48.0,1.0,0.0,39980.54167
Gdl-Mexi_Dep-003M-075_02-02-01_SILDU-10335-20668,Inm24,Gdl,Mexicaltzingo,Ven,Dep,75,2.0,1.0,3550000,,-103.35048,20.668036,104.0,2.0,0.0,47333.33333
Gdl-Mexi_Dep-002M-096_03-02-02_Carlo-10335-20668,Inm24,Gdl,Mexicaltzingo,Ven,Dep,96,3.0,2.0,2990000,750.0,-103.35006,20.668248,53.0,2.0,10.0,31145.83333
Gdl-Mexi_Dep-001M-042_01-01-01_Bless-10335-20667,Inm24,Gdl,Mexicaltzingo,Ven,Dep,42,1.0,1.0,1971617,,-103.351583,20.667976,,1.5,0.0,46943.2619
Gdl-Mira_Dep-001M-074_00-01-00_KwCon-10332-20682,Inm24,Gdl,Mirador,Ven,Dep,74,2.0,,1600000,,-103.32141,20.682141,42.0,1.0,5.0,21621.62162
Gdl-Mira_Dep-002M-068_02-02-01_QUALI-10334-20693,Inm24,Gdl,Miraflores,Ven,Dep,68,2.0,1.0,2600000,,-103.347008,20.693862,287.0,2.0,1.0,38235.29412
Gdl-Niño_Dep-004M-084_02-02-02_BREND-10336-20701,Inm24,Gdl,Niños Héroes,Ven,Dep,84,2.0,2.0,4100000,3000.0,-103.3611,20.701387,145.0,2.0,6.0,48809.52381
Gdl-Niño_Dep-003M-061_02-02-01_iadMe-10335-20702,Inm24,Gdl,Niños Héroes,Ven,Dep,61,2.0,1.0,3292095,,-103.357879,20.702316,,2.0,0.0,53968.77049
Gdl-Niño_Dep-004M-084_02-02-00_Alvar-10336-20701,Inm24,Gdl,Niños Héroes,Ven,Dep,84,2.0,,4300000,3000.0,-103.3611,20.701387,65.0,2.0,10.0,51190.47619
Gdl-Obla_Dep-002M-069_02-02-01_Gaant-10332-20676,Inm24,Gdl,Oblatos,Ven,Dep,69,2.0,1.0,2800551,,-103.32498,20.67621,,2.0,0.0,40587.69565
Gdl-Obla_Dep-001M-095_02-01-01_Remax-10332-20673,Inm24,Gdl,Oblatos,Ven,Dep,95,2.0,1.0,1890000,,-103.321611,20.67345,,1.0,25.0,19894.73684
Gdl-Obla_Dep-002M-058_02-02-01_ReMax-10332-20672,Inm24,Gdl,Oblatos,Ven,Dep,58,2.0,1.0,2629540,1350.0,-103.326357,20.672564,175.0,2.0,0.0,45336.89655
