id,Ciudad,Colonia,operacion,tipo_propiedad,area_m2,precio,longitud,latitud,PxM2
Zap-Puer_CasC-150K-600_04-05-04_ALTUR-10343-20704,Zap,Puerta Las Lomas,Ren,CasC,600,150000,-103.436632,20.704918,250.0
Gdl-Migu_Cas-010K-094_04-01-01_ASESO-10328-20676,Gdl,Miguel Hidalgo,Ren,Cas,94,10000,-103.284952,20.67602,106.3829787
Zap-Bosq_CasC-026K-150_03-03-02_Grupo-10337-20776,Zap,Bosques de San Isidro (Las Cañadas),Ren,CasC,150,26000,-103.378455,20.776711,173.3333333
Zap-Coto_CasC-019K-151_03-02-02_Venta-10340-20767,Zap,Coto Vitana,Ren,CasC,151,19000,-103.406603,20.767131,125.8278146
Zap-Oliv_CasC-055K-328_03-04-03_PRYAg-10345-20735,Zap,Olivos Residencial,Ren,CasC,328,55000,-103.459125,20.735017,167.6829268
Gdl-Coun_CasC-130K-480_03-04-04_Nomad-10337-20710,Gdl,Country Club,Ren,CasC,480,130000,-103.373455,20.710892,270.8333333
Zap-Arco_Cas-059K-508_03-04-04_Gueva-10343-20667,Zap,Arcos de Guadalupe,Ren,Cas,508,59000,-103.436496,20.667187,116.1417323
Zap-ElCe_CasC-016K-129_03-02-03_HEIRe-10338-20773,Zap,El Centinela,Ren,CasC,129,16500,-103.385886,20.773105,127.9069767
Zap-LaEs_Cas-022K-180_03-03-02_COCOC-10343-20667,Zap,La Estancia,Ren,Cas,180,22000,-103.431779,20.667428,122.2222222
Zap-Port_Cas-021K-125_03-03-02_MAVEI-10345-20728,Zap,Porta Real,Ren,Cas,125,21000,-103.453911,20.728291,168.0
Gdl-Prov_Cas-042K-272_04-03-02_ÉIREB-10338-20697,Gdl,Providencia 4a Sección,Ren,Cas,272,42000,-103.385611,20.697062,154.4117647
Zap-Arco_Cas-028K-266_03-02-04_Chast-10343-20666,Zap,Arcos de Guadalupe,Ren,Cas,266,28000,-103.43446,20.666213,105.2631579
Zap-Hoga_Cas-018K-170_03-02-02_Sandr-10334-20727,Zap,Hogares del Batan,Ren,Cas,170,18000,-103.348332,20.727047,105.8823529
Zap-Loma_Cas-045K-258_03-04-02_GPINM-10340-20685,Zap,Lomas del Valle,Ren,Cas,258,45000,-103.407254,20.685207,174.4186047
Zap-Loma_Cas-015K-105_02-01-01_ALIMA-10340-20639,Zap,Loma Bonita,Ren,Cas,105,15500,-103.4035,20.639399,147.6190476
Zap-Vall_Cas-049K-450_03-04-04_WININ-10344-20724,Zap,Valle Real,Ren,Cas,450,49950,-103.447018,20.724183,111.0
Zap-Jard_Cas-037K-306_04-05-04_Mónic-10343-20736,Zap,Jardín Real,Ren,Cas,306,37900,-103.438295,20.736285,123.8562092
Zap-Vill_Cas-039K-220_04-03-03_DEPTO-10340-20691,Zap,Villa Universitaria,Ren,Cas,220,39000,-103.409844,20.691573,177.2727273
Zap-ElRe_Cas-025K-143_03-02-02_TereG-10344-20738,Zap,El Real,Ren,Cas,143,25500,-103.448624,20.738764,178.3216783
Zap-Vall_CasC-023K-210_04-03-02_Edith-10344-20783,Zap,Valle Imperial,Ren,CasC,210,23500,-103.441109,20.783469,111.9047619
Zap-Arco_Cas-038K-215_04-04-03_SADES-10343-20662,Zap,Arcos de Guadalupe,Ren,Cas,215,38000,-103.434211,20.662689,176.744186
Zap-Jard_Cas-050K-415_04-03-03_HORIZ-10340-20671,Zap,Jardines de San Ignacio,Ren,Cas,415,50000,-103.406445,20.671264,120.4819277
Zap-LaCi_Cas-025K-220_04-03-02_Inmue-10341-20753,Zap,La Cima,Ren,Cas,220,25000,-103.414057,20.753733,113.6363636
Zap-Vall_Cas-019K-180_03-02-03_SINTO-10343-20780,Zap,Valle Imperial,Ren,Cas,180,19800,-103.438793,20.780474,110.0
Zap-LaEs_Cas-028K-285_03-03-02_BEXTI-10343-20670,Zap,La Estancia,Ren,Cas,285,28500,-103.430469,20.67091,100.0
Gdl-Jard_Cas-080K-666_08-04-00_Gaant-10338-20669,Gdl,Jardines del Bosque,Ren,Cas,666,80000,-103.387927,20.669523,120.1201201
Gdl-Monr_Cas-065K-350_04-03-04_MAGNA-10339-20687,Gdl,Monraz,Ren,Cas,350,65000,-103.397637,20.687303,185.7142857
Zap-LaCi_CasC-028K-212_04-03-02_LizAp-10341-20752,Zap,La Cima,Ren,CasC,212,28000,-103.410321,20.752707,132.0754717
Gdl-Prov_CasC-017K-050_01-01-01_IGNAC-10337-20700,Gdl,Providencia 3a Sección,Ren,CasC,50,17000,-103.379309,20.700548,340.0
Zap-Puer_CasC-110K-453_03-04-00_Marer-10343-20706,Zap,Puerta Las Lomas,Ren,CasC,453,110000,-103.436384,20.706557,242.8256071
Zap-LaMo_Cas-014K-105_03-02-02_ALTID-10345-20789,Zap,La Moraleja,Ren,Cas,105,14900,-103.450597,20.789998,141.9047619
Zap-Ciud_Cas-042K-250_05-03-04_Glori-10345-20683,Zap,Ciudad Granja,Ren,Cas,250,42000,-103.453061,20.683137,168.0
Zap-LaAu_Cas-015K-080_03-01-02_ADMON-10337-20723,Zap,La Aurora,Ren,Cas,80,15000,-103.372511,20.723955,187.5
Gdl-Prov_Cas-044K-275_03-02-02_ÉIREB-10338-20693,Gdl,Providencia 2a Sección,Ren,Cas,275,44000,-103.381583,20.693945,160.0
Gdl-Colo_Cas-031K-296_04-02-02_8AHAU-10338-20702,Gdl,Colomos Providencia,Ren,Cas,296,31500,-103.384689,20.702144,106.4189189
Zap-Sant_Cas-008M-260_03-04-02_ALIMA-10346-20717,Zap,Santillana,Ven,Cas,260,8400000,-103.462969,20.717702,32307.69231
Gdl-Coun_Cas-132K-550_03-03-04_Punta-10336-20700,Gdl,Country Club,Ren,Cas,550,132000,-103.369568,20.700811,240.0
Zap-LasP_Cas-013K-120_03-03-01_Itali-10341-20733,Zap,Las Palomas,Ren,Cas,120,13000,-103.418529,20.733949,108.3333333
Zap-Ranc_CasC-019M-460_04-05-04_TOPTE-10347-20713,Zap,Rancho Contento,Ven,CasC,460,19850000,-103.47851,20.713736,43152.17391
Zap-Sola_CasC-028K-180_03-04-02_Anafa-10346-20725,Zap,Solares,Ren,CasC,180,28000,-103.462207,20.725089,155.5555556
Zap-LaCi_CasC-025K-206_04-04-02_HORIZ-10341-20754,Zap,La Cima,Ren,CasC,206,25500,-103.413503,20.754528,123.7864078
Zap-LaSt_Cas-017K-110_04-03-02_VALFE-10342-20743,Zap,La Stravaganza,Ren,Cas,110,17800,-103.421493,20.743699,161.8181818
Zap-LosR_CasC-005M-183_03-04-02_Jalis-10341-20760,Zap,Los Robles,Ven,CasC,183,5100000,-103.414808,20.760311,27868.85246
Gdl-Coli_Cas-095K-830_04-04-02_CERTO-10339-20700,Gdl,Colinas de San Javier,Ren,Cas,830,95000,-103.394986,20.700094,114.4578313
Zap-Sole_CasC-027K-210_04-03-02_Mónic-10345-20730,Zap,Sole Real,Ren,CasC,210,27900,-103.455833,20.730604,132.8571429
Zap-Vall_Cas-035K-350_04-05-02_CityR-10342-20790,Zap,Valle Imperial,Ren,Cas,350,35000,-103.429909,20.790358,100.0
Zap-Atla_CasC-045K-380_03-03-04_ArqPa-10340-20715,Zap,Atlas Colomos,Ren,CasC,380,45000,-103.403596,20.715729,118.4210526
Zap-Plaz_Cas-025K-104_03-02-02_INSEA-10343-20657,Zap,Plaza Guadalupe,Ren,Cas,104,25000,-103.435813,20.657237,240.3846154
Gdl-Prov_Cas-049K-340_05-03-04_Colun-10338-20696,Gdl,Providencia 2a Sección,Ren,Cas,340,49000,-103.38084,20.696292,144.1176471
Zap-Taba_Cas-018K-170_04-03-02_Grupo-10337-20740,Zap,Tabachines,Ren,Cas,170,18900,-103.372852,20.740829,111.1764706
Zap-Jard_Cas-030K-250_03-03-02_MAGNA-10342-20682,Zap,Jardines Vallarta,Ren,Cas,250,30000,-103.423303,20.682062,120.0
Zap-Puer_CasC-135K-508_05-05-04_Coldw-10343-20705,Zap,Puerta Las Lomas,Ren,CasC,508,135000,-103.436598,20.705272,265.7480315
Zap-Vall_CasC-013K-099_02-02-02_GRUPO-10343-20778,Zap,Valle Imperial,Ren,CasC,99,13500,-103.436025,20.778427,136.3636364
Zap-Ciud_Cas-039K-292_04-03-03_ISFIN-10340-20657,Zap,Ciudad del Sol,Ren,Cas,292,39000,-103.405378,20.657179,133.5616438
