Ciudad,Colonia,operacion,tipo_propiedad,PxM2_median,periodo
Gdl,Country Club,Ven,Cas,67827.58620689655,Sep25
Gdl,Country Club,Ven,Dep,64721.95084300233,Sep25
Gdl,Country Club,Ven,Ofc,63790.0,Sep25
Gdl,Del Bosque,Ven,Cas,26189.327220814735,Sep25
Gdl,Del Bosque,Ven,Dep,38823.52941176471,Sep25
Gdl,Del Fresno,Ven,Cas,20000.0,Sep25
Gdl,Del Fresno,Ven,Dep,44154.588709677424,Sep25
Gdl,Del Fresno,Ven,Local comercial,28933.55390129584,Sep25
Gdl,Del Fresno,Ven,Terreno / Lote,18527.131782945737,Sep25
Gdl,Del Sur,Ven,Cas,23323.938992042444,Sep25
Gdl,Dr. Valentín Gómez Farías,Ven,Dep,32240.0,Sep25
Gdl,Echeverria,Ven,Cas,16433.555825242718,Sep25
Gdl,El Bethel,Ven,Cas,23888.88888888889,Sep25
Gdl,El Carmen,Ven,Cas,11052.631578947368,Sep25
Gdl,El Carmen,Ven,Local comercial,47161.4,Sep25
Gdl,El Dean,Ven,Cas,34610.29482377797,Sep25
Gdl,El Dean,Ven,Dep,43456.14035087719,Sep25
Gdl,El Manantial,Ven,Dep,33422.769230769234,Sep25
Gdl,El Rastro,Ven,Dep,32785.087719298244,Sep25
Gdl,El Retiro,Ven,Cas,16950.35460992908,Sep25
Gdl,El Retiro,Ven,Dep,41882.69230769231,Sep25
Gdl,El Rosario,Ven,Cas,22674.424138587474,Sep25
Gdl,El Rosario,Ven,Dep,34107.142857142855,Sep25
Gdl,El Sauz,Ven,Cas,36363.63636363636,Sep25
Gdl,El Sauz,Ven,Dep,28742.452830188682,Sep25
Gdl,El Verde (Planetario),Ven,Dep,20295.66843220339,Sep25
Gdl,Electricistas,Ven,Cas,19043.650793650795,Sep25
Gdl,Ferrocarril,Ven,Cas,13757.575757575758,Sep25
Gdl,Ferrocarril,Ven,Local comercial,16666.666666666668,Sep25
Gdl,Fidel Velázquez,Ven,Dep,39493.34616001282,Sep25
Gdl,Fovissste Estadio,Ven,Dep,25648.14814814815,Sep25
Gdl,Fábrica de Atemajac,Ven,Dep,27794.117647058825,Sep25
Gdl,Heliodoro Hernández Loza,Ven,Cas,13480.0,Sep25
Gdl,Hermosa Provincia,Ven,Local comercial,29906.54205607477,Sep25
Gdl,Hernández Romo,Ven,Cas,17450.980392156864,Sep25
Gdl,Hernández Romo,Ven,Local comercial,13440.860215053764,Sep25
Gdl,Hormiguero,Ven,Dep,29682.53968253968,Sep25
Gdl,Huentitán El Alto,Ven,Dep,35646.55172413793,Sep25
Gdl,Huentitán El Bajo,Ven,Cas,26098.9010989011,Sep25
Gdl,Huentitán El Bajo,Ven,Dep,41929.82456140351,Sep25
Gdl,Huerta Baeza,Ven,Cas,18882.46628131021,Sep25
Gdl,Independencia,Ven,Cas,24330.25911286781,Sep25
Gdl,Independencia,Ven,Dep,32230.94935064935,Sep25
Gdl,Independencia Oriente,Ven,Cas,21557.826520438684,Sep25
Gdl,Independencia Oriente,Ven,Dep,36833.6439888164,Sep25
Gdl,Independencia Oriente,Ven,Ofc,26530.61224489796,Sep25
Gdl,Insurgentes,Ven,Cas,19166.666666666668,Sep25
Gdl,Insurgentes,Ven,Local comercial,80000.0,Sep25
Gdl,Italia Providencia,Ven,Cas,35060.9756097561,Sep25
Gdl,Italia Providencia,Ven,Dep,62525.51606288448,Sep25
Gdl,Jardines Alcalde,Ven,Cas,26081.424936386768,Sep25
Gdl,Jardines Alcalde,Ven,Dep,47872.34042553192,Sep25
Gdl,Jardines Plaza del Sol,Ven,Cas,32635.98326359833,Sep25
Gdl,Jardines Plaza del Sol,Ven,Ofc,42727.27272727273,Sep25
