bin_min,bin_max,count,percentage
39.0,58.84,514,6.769392861846438
58.84,78.68,805,10.601870143553272
78.68,98.52,845,11.128671144475174
98.52,118.36,715,9.416567891478994
118.36,138.2,534,7.0327933623073875
138.2,158.04,475,6.255761885947583
158.04,177.88,426,5.610430659818253
177.88,197.72,344,4.530488607928355
197.72,217.56,385,5.070459633873305
217.56,237.4,385,5.070459633873305
237.4,257.24,275,3.6217568813380745
257.24,277.08,211,2.7788752798630316
277.08,296.92,130,1.7121032529961808
296.92,316.76,166,2.186224153825892
316.76,336.6,158,2.080863953641512
336.6,356.44,157,2.0676939286184646
356.44,376.28,115,1.5145528776504675
376.28,396.12,73,0.9614118266824708
396.12,415.96,143,1.8833135782957988
415.96,435.8,79,1.040431976820756
435.8,455.64,75,0.9877518767285659
455.64,475.48,58,0.7638614513367575
475.48,495.32,48,0.632161201106282
495.32,515.16,56,0.7375214012906625
515.16,535.0,34,0.4477808507836165
535.0,554.84,41,0.5399710259449493
554.84,574.68,32,0.42144080073752144
574.68,594.52,24,0.316080600553141
594.52,614.36,35,0.46095087580666405
614.36,634.2,16,0.21072040036876072
634.2,654.04,26,0.3424206505992361
654.04,673.88,12,0.1580403002765705
673.88,693.72,20,0.26340050046095087
693.72,713.56,12,0.1580403002765705
713.56,733.4,13,0.17121032529961805
733.4,753.24,14,0.18438035032266561
753.24,773.08,5,0.06585012511523772
773.08,792.92,10,0.13170025023047544
792.92,812.76,19,0.25023047543790333
812.76,832.6,9,0.1185302252074279
832.6,852.4399999999999,9,0.1185302252074279
852.4399999999999,872.28,13,0.17121032529961805
872.28,892.12,7,0.09219017516133281
892.12,911.96,8,0.10536020018438036
911.96,931.8,4,0.05268010009219018
931.8,951.64,10,0.13170025023047544
951.64,971.48,10,0.13170025023047544
971.48,991.3199999999999,6,0.07902015013828526
991.3199999999999,1011.16,24,0.316080600553141
1011.16,1031.0,8,0.10536020018438036
