bin_min,bin_max,count,percentage
123.45679012345678,146.6108000497698,90,7.792207792207792
146.6108000497698,169.76480997608283,90,7.792207792207792
169.76480997608283,192.91881990239585,84,7.2727272727272725
192.91881990239585,216.07282982870888,96,8.311688311688311
216.07282982870888,239.2268397550219,110,9.523809523809524
239.2268397550219,262.3808496813349,132,11.428571428571429
262.3808496813349,285.53485960764795,126,10.909090909090908
285.53485960764795,308.688869533961,112,9.696969696969697
308.688869533961,331.842879460274,98,8.484848484848486
331.842879460274,354.996889386587,75,6.493506493506493
354.996889386587,378.15089931290004,51,4.415584415584416
378.15089931290004,401.3049092392131,35,3.0303030303030303
401.3049092392131,424.45891916552614,22,1.9047619047619049
424.45891916552614,447.6129290918391,14,1.2121212121212122
447.6129290918391,470.76693901815213,10,0.8658008658008658
470.76693901815213,493.9209489444652,4,0.3463203463203463
493.9209489444652,517.0749588707782,2,0.17316017316017315
517.0749588707782,540.2289687970912,3,0.2597402597402597
540.2289687970912,563.3829787234042,1,0.08658008658008658
