bin_min,bin_max,count,percentage
39.0,54.76,71,6.147186147186147
54.76,70.52,171,14.805194805194805
70.52,86.28,196,16.969696969696972
86.28,102.03999999999999,188,16.277056277056275
102.03999999999999,117.8,123,10.649350649350648
117.8,133.56,95,8.225108225108226
133.56,149.32,75,6.493506493506493
149.32,165.07999999999998,51,4.415584415584416
165.07999999999998,180.84,38,3.29004329004329
180.84,196.6,16,1.3852813852813852
196.6,212.35999999999999,15,1.2987012987012987
212.35999999999999,228.12,11,0.9523809523809524
228.12,243.88,4,0.3463203463203463
243.88,259.64,10,0.8658008658008658
259.64,275.4,7,0.6060606060606061
275.4,291.15999999999997,6,0.5194805194805194
291.15999999999997,306.92,10,0.8658008658008658
306.92,322.68,5,0.4329004329004329
322.68,338.44,4,0.3463203463203463
338.44,354.2,3,0.2597402597402597
354.2,369.96,2,0.17316017316017315
369.96,385.71999999999997,3,0.2597402597402597
385.71999999999997,401.48,6,0.5194805194805194
401.48,417.24,0,0.0
417.24,433.0,3,0.2597402597402597
433.0,448.76,2,0.17316017316017315
448.76,464.52,8,0.6926406926406926
464.52,480.28,2,0.17316017316017315
480.28,496.04,7,0.6060606060606061
496.04,511.8,5,0.4329004329004329
511.8,527.56,1,0.08658008658008658
527.56,543.3199999999999,2,0.17316017316017315
543.3199999999999,559.08,3,0.2597402597402597
559.08,574.84,2,0.17316017316017315
574.84,590.6,2,0.17316017316017315
590.6,606.36,4,0.3463203463203463
606.36,622.12,0,0.0
622.12,637.88,0,0.0
637.88,653.64,1,0.08658008658008658
653.64,669.4,0,0.0
669.4,685.16,0,0.0
685.16,700.92,1,0.08658008658008658
700.92,716.68,0,0.0
716.68,732.4399999999999,0,0.0
732.4399999999999,748.2,0,0.0
748.2,763.96,1,0.08658008658008658
763.96,779.72,0,0.0
779.72,795.48,0,0.0
795.48,811.24,0,0.0
811.24,827.0,1,0.08658008658008658
