id,PaginaWeb,Ciudad,Colonia,operacion,tipo_propiedad,area_m2,recamaras,estacionamientos,precio,mantenimiento,longitud,latitud,tiempo_publicacion,Banos_totales,antiguedad_icon,PxM2
Zap-Bosq_CasC-030K-231_05-05-02_GuiaE-10347-20719,Inm24,Zap,Bosques Vallarta,Ren,CasC,231,5,2,30000,3048,-103.475147,20.719632,17,5,5,129.8701299
Gdl-Coun_Cas-120K-550_03-04-04_Colum-10337-20710,Inm24,Gdl,Country Club,Ren,Cas,550,3,4,120000,,-103.373455,20.710892,23,4.5,10,218.1818182
Zap-Coli_Cas-119K-532_03-04-04_Remax-10340-20700,Inm24,Zap,Colinas de San Javier,Ren,Cas,532,3,4,119000,,-103.403884,20.700623,27,4.5,17,223.6842105
Zap-Roya_Cas-070K-260_04-04-04_Colum-10342-20708,Inm24,Zap,Royal Country,Ren,Cas,260,4,4,70000,,-103.422792,20.708151,10,4.5,5,269.2307692
Zap-Ciud_Cas-060K-450_04-04-04_SIERR-10347-20609,Inm24,Zap,Ciudad Bugambilias,Ren,Cas,450,4,4,60000,,-103.473159,20.609334,45,4.5,13,133.3333333
Zap-Parq_Cas-039K-360_04-04-03_ALTUR-10343-20691,Inm24,Zap,Parque de La Castellana,Ren,Cas,360,4,3,39000,,-103.433698,20.691064,31,4.5,20,108.3333333
Zap-Ciud_Cas-020M-610_04-04-04_Colum-10340-20653,Inm24,Zap,Ciudad del Sol,Ven,Cas,610,4,4,20500000,1300,-103.409274,20.653472,,4.5,30,33606.55738
Zap-Sola_CasC-026K-210_03-03-02_GuiaE-10346-20726,Inm24,Zap,Solares Antara,Ren,CasC,210,3,2,26160,,-103.467879,20.726076,55,3.5,10,124.5714286
Zap-Puer_CasC-150K-600_04-05-04_ALTUR-10343-20704,Inm24,Zap,Puerta Las Lomas,Ren,CasC,600,4,4,150000,5000,-103.436632,20.704918,,5,1,250
Gdl-Migu_Cas-010K-094_04-01-01_ASESO-10328-20676,Inm24,Gdl,Miguel Hidalgo,Ren,Cas,94,4,1,10000,,-103.284952,20.67602,0,1,33,106.3829787
Zap-Bosq_CasC-026K-150_03-03-02_Grupo-10337-20776,Inm24,Zap,Bosques de San Isidro (Las Cañadas),Ren,CasC,150,3,2,26000,,-103.378455,20.776711,88,3,20,173.3333333
Zap-Coto_CasC-019K-151_03-02-02_Venta-10340-20767,Inm24,Zap,Coto Vitana,Ren,CasC,151,3,2,19000,,-103.406603,20.767131,43,2.5,2,125.8278146
Zap-Oliv_CasC-055K-328_03-04-03_PRYAg-10345-20735,Inm24,Zap,Olivos Residencial,Ren,CasC,328,3,3,55000,,-103.459125,20.735017,15,4,0,167.6829268
Gdl-Coun_CasC-130K-480_03-04-04_Nomad-10337-20710,Inm24,Gdl,Country Club,Ren,CasC,480,3,4,130000,5000,-103.373455,20.710892,60,4,8,270.8333333
Zap-Arco_Cas-059K-508_03-04-04_Gueva-10343-20667,Inm24,Zap,Arcos de Guadalupe,Ren,Cas,508,3,4,59000,,-103.436496,20.667187,31,4,20,116.1417323
Zap-ElCe_CasC-016K-129_03-02-03_HEIRe-10338-20773,Inm24,Zap,El Centinela,Ren,CasC,129,3,3,16500,,-103.385886,20.773105,309,2.5,5,127.9069767
Zap-LaEs_Cas-022K-180_03-03-02_COCOC-10343-20667,Inm24,Zap,La Estancia,Ren,Cas,180,3,2,22000,,-103.431779,20.667428,7,3,35,122.2222222
Zap-Port_Cas-021K-125_03-03-02_MAVEI-10345-20728,Inm24,Zap,Porta Real,Ren,Cas,125,3,2,21000,,-103.453911,20.728291,0,3.5,10,168
Gdl-Prov_Cas-042K-272_04-03-02_ÉIREB-10338-20697,Inm24,Gdl,Providencia 4a Sección,Ren,Cas,272,4,2,42000,,-103.385611,20.697062,22,3.5,40,154.4117647
Zap-Arco_Cas-028K-266_03-02-04_Chast-10343-20666,Inm24,Zap,Arcos de Guadalupe,Ren,Cas,266,3,4,28000,,-103.43446,20.666213,8,2.5,28,105.2631579
