variable,count,missing,missing_pct,mean,median,mode,std,var,min,max,range,p01,p05,p10,p25,p50,p75,p90,p95,p99,iqr_x,coef_var_pct,skew,kurtosis,metodo_sugerido_global,q1,q3,iqr_y,lower,upper,outliers,ratio,shapiro_stat,shapiro_p,approx_normal
precio,8750,0,0.0,7637903.438857143,5147000.0,7500000.0,7929624.8612205135,62878950439686.445,5000.0,59368000.0,59363000.0,12000.0,21600.0,33000.0,2755911.0,5147000.0,9500000.0,18000000.0,24970800.999999974,37900000.0,6744089.0,103.8193913381945,1.960291293504981,4.323692372650444,mediana_IQR,2755911.0,9500000.0,6744089.0,-7360222.5,19616133.5,760,0.08685714285714285,,,False
area_m2,8750,0,0.0,231.32537142857143,146.0,60.0,233.61637253706837,54576.60951737831,30.0,2013.0,1983.0,38.0,51.0,60.0,85.0,146.0,290.0,509.10000000000036,691.5499999999993,1176.590000000002,205.0,100.99038038687613,2.700946494913421,10.129156805832652,mediana_IQR,85.0,290.0,205.0,-222.5,597.5,620,0.07085714285714285,,,False
PxM2,8750,0,0.0,36395.23365794307,34973.77633839754,25000.0,23883.117198626107,570403287.1233101,72.09302325581395,150000.0,149927.90697674418,156.25,241.66666666666663,325.0,20247.412008281575,34973.77633839754,53039.79737489746,67324.77130718956,75542.43651286601,96697.23023809526,32792.38536661588,65.62155205016451,0.3926109068734813,0.053425639941661274,media_desv,20247.412008281575,53039.79737489746,32792.38536661588,-28941.16604164225,102228.37542482128,55,0.006285714285714286,,,True
